data_dir,C,SB,DB_V,DB_H,N
2025-06-19--18h-42m-38s,75.0,10.0,32.0,43.0,160.0
2025-06-19--18h-42m-38s,68.0,14.0,41.0,37.0,160.0
2025-06-19--18h-42m-38s,75.0,14.0,34.0,37.0,160.0
2025-06-19--18h-42m-38s,69.0,11.0,35.0,45.0,160.0
2025-06-19--18h-42m-38s,69.0,16.0,31.0,44.0,160.0
2025-06-19--18h-42m-38s,59.0,17.0,38.0,46.0,160.0
2025-06-19--18h-42m-38s,60.0,15.0,40.0,45.0,160.0
2025-06-19--18h-42m-38s,57.0,18.0,42.0,43.0,160.0
2025-06-19--18h-42m-38s,65.0,17.0,34.0,44.0,160.0
2025-06-19--18h-42m-38s,61.0,19.0,37.0,43.0,160.0
2025-06-19--18h-42m-38s,56.0,8.0,41.0,55.0,160.0
2025-06-19--18h-42m-38s,55.0,12.0,35.0,58.0,160.0
2025-06-19--18h-42m-38s,74.0,16.0,30.0,40.0,160.0
2025-06-19--18h-42m-38s,74.0,11.0,39.0,36.0,160.0
2025-06-19--18h-42m-38s,72.0,15.0,32.0,41.0,160.0
2025-06-19--18h-42m-38s,65.0,14.0,38.0,43.0,160.0
2025-06-19--18h-42m-38s,66.0,16.0,40.0,38.0,160.0
2025-06-19--18h-42m-38s,62.0,18.0,44.0,36.0,160.0
2025-06-19--18h-42m-38s,71.0,10.0,46.0,33.0,160.0
2025-06-19--18h-42m-38s,69.0,12.0,37.0,42.0,160.0
2025-06-19--18h-42m-38s,55.0,20.0,42.0,43.0,160.0
2025-06-19--18h-42m-38s,69.0,12.0,37.0,42.0,160.0
2025-06-19--18h-42m-38s,70.0,11.0,37.0,42.0,160.0
2025-06-19--18h-42m-38s,64.0,19.0,34.0,43.0,160.0
2025-06-19--18h-42m-38s,64.0,16.0,36.0,44.0,160.0
2025-06-19--18h-42m-38s,57.0,23.0,41.0,39.0,160.0
2025-06-19--18h-42m-38s,65.0,14.0,47.0,34.0,160.0
2025-06-19--18h-42m-38s,53.0,17.0,41.0,49.0,160.0
2025-06-19--18h-42m-38s,68.0,10.0,35.0,47.0,160.0
2025-06-19--18h-42m-38s,65.0,7.0,36.0,52.0,160.0
2025-06-19--18h-42m-38s,75.0,14.0,32.0,39.0,160.0
2025-06-19--18h-42m-38s,57.0,17.0,43.0,43.0,160.0
2025-06-19--18h-42m-38s,69.0,12.0,35.0,44.0,160.0
2025-06-19--18h-42m-38s,56.0,14.0,36.0,54.0,160.0
2025-06-19--18h-42m-38s,52.0,17.0,46.0,45.0,160.0
2025-06-19--18h-42m-38s,73.0,13.0,31.0,43.0,160.0
2025-06-19--18h-42m-38s,68.0,13.0,41.0,38.0,160.0
2025-06-19--18h-42m-38s,68.0,11.0,35.0,46.0,160.0
2025-06-19--18h-42m-38s,67.0,11.0,34.0,48.0,160.0
2025-06-19--18h-42m-38s,70.0,14.0,36.0,40.0,160.0
2025-06-19--18h-42m-38s,65.0,10.0,43.0,42.0,160.0
2025-06-19--18h-42m-38s,64.0,14.0,39.0,43.0,160.0
2025-06-19--18h-42m-38s,59.0,22.0,41.0,38.0,160.0
2025-06-19--18h-42m-38s,71.0,13.0,39.0,37.0,160.0
2025-06-19--18h-42m-38s,57.0,19.0,41.0,43.0,160.0
2025-06-19--18h-42m-38s,63.0,11.0,41.0,45.0,160.0
2025-06-19--18h-42m-38s,69.0,15.0,42.0,34.0,160.0
2025-06-19--18h-42m-38s,62.0,15.0,40.0,43.0,160.0
2025-06-19--18h-42m-38s,67.0,9.0,36.0,48.0,160.0
2025-06-19--18h-42m-38s,47.0,21.0,33.0,59.0,160.0
2025-06-19--18h-42m-38s,57.0,15.0,38.0,50.0,160.0
2025-06-19--18h-42m-38s,67.0,13.0,41.0,39.0,160.0
2025-06-19--18h-42m-38s,63.0,13.0,34.0,50.0,160.0
2025-06-19--18h-42m-38s,64.0,14.0,39.0,43.0,160.0
2025-06-19--18h-42m-38s,60.0,13.0,39.0,48.0,160.0
2025-06-19--18h-42m-38s,65.0,17.0,39.0,39.0,160.0
2025-06-19--18h-42m-38s,60.0,16.0,35.0,49.0,160.0
2025-06-19--18h-42m-38s,66.0,21.0,37.0,36.0,160.0
2025-06-19--18h-42m-38s,63.0,13.0,42.0,42.0,160.0
2025-06-19--18h-42m-38s,66.0,14.0,41.0,39.0,160.0
2025-06-19--18h-42m-38s,72.0,14.0,36.0,38.0,160.0
2025-06-19--18h-42m-38s,56.0,15.0,38.0,51.0,160.0
2025-06-19--18h-42m-38s,62.0,9.0,42.0,47.0,160.0
2025-06-19--18h-42m-38s,64.0,20.0,38.0,38.0,160.0
2025-06-19--18h-42m-38s,69.0,11.0,34.0,46.0,160.0
2025-06-19--18h-42m-38s,64.0,8.0,40.0,48.0,160.0
2025-06-19--18h-42m-38s,65.0,11.0,39.0,45.0,160.0
2025-06-19--18h-42m-38s,61.0,15.0,42.0,42.0,160.0
2025-06-19--18h-42m-38s,66.0,13.0,34.0,47.0,160.0
2025-06-19--18h-42m-38s,64.0,11.0,42.0,43.0,160.0
2025-06-19--18h-42m-38s,65.0,17.0,37.0,41.0,160.0
2025-06-19--18h-42m-38s,67.0,17.0,33.0,43.0,160.0
2025-06-19--18h-42m-38s,73.0,6.0,46.0,35.0,160.0
2025-06-19--18h-42m-38s,58.0,9.0,43.0,50.0,160.0
2025-06-19--18h-42m-38s,59.0,17.0,42.0,42.0,160.0
2025-06-19--18h-42m-38s,76.0,14.0,44.0,26.0,160.0
2025-06-19--18h-42m-38s,61.0,12.0,36.0,51.0,160.0
2025-06-19--18h-42m-38s,59.0,13.0,41.0,47.0,160.0
2025-06-19--18h-42m-38s,78.0,13.0,33.0,36.0,160.0
2025-06-19--18h-42m-38s,60.0,14.0,49.0,37.0,160.0
2025-06-19--18h-42m-38s,72.0,12.0,26.0,50.0,160.0
2025-06-19--18h-42m-38s,60.0,16.0,34.0,50.0,160.0
2025-06-19--18h-42m-38s,61.0,18.0,39.0,42.0,160.0
2025-06-19--18h-42m-38s,64.0,14.0,38.0,44.0,160.0
2025-06-19--18h-42m-38s,66.0,13.0,40.0,41.0,160.0
2025-06-19--18h-42m-38s,67.0,18.0,31.0,44.0,160.0
2025-06-19--18h-42m-38s,64.0,22.0,33.0,41.0,160.0
2025-06-19--18h-42m-38s,60.0,14.0,36.0,50.0,160.0
2025-06-19--18h-42m-38s,63.0,23.0,40.0,34.0,160.0
2025-06-19--18h-42m-38s,61.0,14.0,39.0,46.0,160.0
2025-06-19--18h-42m-38s,71.0,16.0,28.0,45.0,160.0
2025-06-19--18h-42m-38s,74.0,10.0,40.0,36.0,160.0
2025-06-19--18h-42m-38s,71.0,14.0,29.0,46.0,160.0
2025-06-19--18h-42m-38s,76.0,11.0,27.0,46.0,160.0
2025-06-19--18h-42m-38s,59.0,14.0,31.0,56.0,160.0
2025-06-19--18h-42m-38s,59.0,15.0,38.0,48.0,160.0
2025-06-19--18h-42m-38s,63.0,14.0,35.0,48.0,160.0
2025-06-19--18h-42m-38s,67.0,17.0,37.0,39.0,160.0
2025-06-19--18h-42m-38s,75.0,13.0,35.0,37.0,160.0
2025-06-19--18h-42m-38s,63.0,15.0,35.0,47.0,160.0
2025-06-19--18h-42m-38s,58.0,13.0,43.0,46.0,160.0
2025-06-19--18h-42m-38s,63.0,13.0,46.0,38.0,160.0
2025-06-19--18h-42m-38s,73.0,18.0,35.0,34.0,160.0
2025-06-19--18h-42m-38s,67.0,11.0,35.0,47.0,160.0
2025-06-19--18h-42m-38s,58.0,13.0,32.0,57.0,160.0
2025-06-19--18h-42m-38s,68.0,16.0,37.0,39.0,160.0
2025-06-19--18h-42m-38s,67.0,18.0,31.0,44.0,160.0
2025-06-19--18h-42m-38s,64.0,15.0,36.0,45.0,160.0
2025-06-19--18h-42m-38s,71.0,15.0,35.0,39.0,160.0
2025-06-19--18h-42m-38s,59.0,15.0,36.0,50.0,160.0
2025-06-19--18h-42m-38s,64.0,17.0,38.0,41.0,160.0
2025-06-19--18h-42m-38s,66.0,15.0,43.0,36.0,160.0
2025-06-19--18h-42m-38s,66.0,9.0,44.0,41.0,160.0
2025-06-19--18h-42m-38s,73.0,10.0,32.0,45.0,160.0
2025-06-19--18h-42m-38s,71.0,8.0,42.0,39.0,160.0
2025-06-19--18h-42m-38s,65.0,18.0,36.0,41.0,160.0
2025-06-19--18h-42m-38s,70.0,15.0,42.0,33.0,160.0
2025-06-19--18h-42m-38s,62.0,14.0,39.0,45.0,160.0
2025-06-19--18h-42m-38s,65.0,13.0,41.0,41.0,160.0
2025-06-19--18h-42m-38s,64.0,14.0,40.0,42.0,160.0
2025-06-19--18h-42m-38s,59.0,9.0,46.0,46.0,160.0
2025-06-19--18h-42m-38s,70.0,15.0,35.0,40.0,160.0
2025-06-19--18h-42m-38s,67.0,12.0,39.0,42.0,160.0
2025-06-19--18h-42m-38s,73.0,13.0,32.0,42.0,160.0
2025-06-19--18h-42m-38s,62.0,13.0,35.0,50.0,160.0
2025-06-19--18h-42m-38s,68.0,15.0,39.0,38.0,160.0
2025-06-19--18h-42m-38s,61.0,18.0,37.0,44.0,160.0
2025-06-19--18h-42m-38s,64.0,9.0,40.0,47.0,160.0
2025-06-19--18h-42m-38s,70.0,8.0,38.0,44.0,160.0
2025-06-19--18h-42m-38s,76.0,8.0,34.0,42.0,160.0
2025-06-19--18h-42m-38s,64.0,13.0,47.0,36.0,160.0
2025-06-19--18h-42m-38s,64.0,12.0,40.0,44.0,160.0
2025-06-19--18h-42m-38s,57.0,9.0,38.0,56.0,160.0
2025-06-19--18h-42m-38s,59.0,14.0,40.0,47.0,160.0
2025-06-19--18h-42m-38s,61.0,8.0,41.0,50.0,160.0
2025-06-19--18h-42m-38s,75.0,10.0,32.0,43.0,160.0
2025-06-19--18h-42m-38s,64.0,12.0,44.0,40.0,160.0
2025-06-19--18h-42m-38s,58.0,15.0,44.0,43.0,160.0
2025-06-19--18h-42m-38s,65.0,16.0,36.0,43.0,160.0
2025-06-19--18h-42m-38s,66.0,7.0,41.0,46.0,160.0
2025-06-19--18h-42m-38s,67.0,16.0,33.0,44.0,160.0
