qwp,hwp,singles
3.0,5.0,"[57976  1685     0 65935     0     0  2388     0 59951   296   353 68208
     0     0     0     0]"
4.0,-5.0,"[54855  4029     0 62832     0     0  4939     0 60236   315   346 67484
     0     0     0     0]"
4.0,-4.0,"[55650  3400     0 63317     0     0  4363     0 60107   309   367 68117
     0     0     0     0]"
4.0,-3.0,"[56047  2781     0 64141     0     0  3622     0 60209   308   365 67255
     0     0     0     0]"
4.0,-2.0,"[56409  2249     0 64788     0     0  2975     0 59486   301   352 67021
     0     0     0     0]"
4.0,-1.0,"[57324  1722     0 65878     0     0  2563     0 59547   365   321 67294
     0     0     0     0]"
4.0,0.0,"[56883  1540     0 65248     0     0  2175     0 59256   319   328 67643
     0     0     0     0]"
4.0,1.0,"[58047  1355     0 66178     0     0  1921     0 59550   301   342 67539
     0     0     0     0]"
4.0,2.0,"[58181  1154     0 66437     0     0  1764     0 60227   311   355 67733
     0     0     0     0]"
4.0,3.0,"[58274  1243     0 67181     0     0  1867     0 60165   304   314 68401
     0     0     0     0]"
4.0,4.0,"[57629  1388     0 65838     0     0  2000     0 59311   307   345 66980
     0     0     0     0]"
4.0,5.0,"[57399  1651     0 66307     0     0  2341     0 59749   315   351 68048
     0     0     0     0]"
5.0,-5.0,"[53768  4374     0 61777     0     0  5331     0 59514   293   334 67569
     0     0     0     0]"
5.0,-4.0,"[54875  3923     0 63259     0     0  4971     0 60301   321   342 67726
     0     0     0     0]"
5.0,-3.0,"[55428  3207     0 63557     0     0  4078     0 59677   332   348 67354
     0     0     0     0]"
5.0,-2.0,"[56091  2634     0 64664     0     0  3539     0 59578   329   371 67915
     0     0     0     0]"
5.0,-1.0,"[56773  2114     0 65518     0     0  2774     0 59604   279   333 67973
     0     0     0     0]"
5.0,0.0,"[57563  1855     0 66188     0     0  2471     0 59807   303   331 68110
     0     0     0     0]"
5.0,1.0,"[57732  1612     0 65545     0     0  2236     0 59492   310   328 67302
     0     0     0     0]"
5.0,2.0,"[57895  1448     0 66819     0     0  2031     0 59706   284   347 67480
     0     0     0     0]"
5.0,3.0,"[57598  1420     0 65506     0     0  1913     0 59407   318   357 67140
     0     0     0     0]"
5.0,4.0,"[57752  1454     0 66369     0     0  2237     0 59858   289   358 67782
     0     0     0     0]"
5.0,5.0,"[57402  1721     0 65723     0     0  2321     0 59592   296   335 67252
     0     0     0     0]"
