detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir,estimation_label,corrected_estimation_label
4,9,2554318921408809472,2554318921408809472,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921416634368,2554318921416634368,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
7,12,2554318921431277568,2554318921431277568,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,12,2554318921435661312,2554318921435661312,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921437622272,2554318921437622272,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318921443767296,2554318921443767296,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318921444069888,2554318921444069888,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921444816896,2554318921444816896,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921466965504,2554318921466965504,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921467348480,2554318921467348480,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
2,4,2554318921478251520,2554318921478251520,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,9,2554318921479698432,2554318921479698432,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921480190976,2554318921480190976,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,10,2554318921483079680,2554318921483079680,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,12,2554318921484173312,2554318921484173312,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921490704896,2554318921490704896,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318921492102656,2554318921492102656,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921513492992,2554318921513492992,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921513632256,2554318921513632256,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318921524711424,2554318921524711424,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921524861952,2554318921524861952,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921524861952,2554318921524861952,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921524861952,2554318921524861952,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921536707584,2554318921536707584,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921537547264,2554318921537547264,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921540087296,2554318921540087296,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318921541815808,2554318921541815808,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921541964800,2554318921541964800,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921543045120,2554318921543045120,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921546340352,2554318921546340352,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,7,2554318921553721344,2554318921553721344,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
4,9,2554318921564275200,2554318921564275200,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921565286400,2554318921565286400,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921569615360,2554318921569615360,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318921573835776,2554318921573835776,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921581460480,2554318921581460480,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921587568640,2554318921587568640,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921589326336,2554318921589326336,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921589586432,2554318921589586432,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318921589989376,2554318921589989376,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921595251200,2554318921595251200,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,10,2554318921606477312,2554318921606477312,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,4,2554318921607990272,2554318921607990272,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921612097024,2554318921612097024,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921628511744,2554318921628511744,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318921636666368,2554318921636666368,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921645297152,2554318921645297152,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921645825536,2554318921645825536,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,11,2554318921650247168,2554318921650247168,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,4,2554318921652069376,2554318921652069376,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318921656112640,2554318921656112640,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921657780736,2554318921657780736,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
7,12,2554318921674105344,2554318921674105344,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
9,12,2554318921674429952,2554318921674429952,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318921683993600,2554318921683993600,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318921691325440,2554318921691325440,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921691677696,2554318921691677696,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921693868544,2554318921693868544,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921705228800,2554318921705228800,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921710363648,2554318921710363648,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921710554112,2554318921710554112,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921710904320,2554318921710904320,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,11,2554318921714706432,2554318921714706432,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,12,2554318921720203264,2554318921720203264,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921722116096,2554318921722116096,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318921728286208,2554318921728286208,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921730277888,2554318921730277888,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318921746162176,2554318921746162176,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318921749701632,2554318921749701632,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921752195584,2554318921752195584,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921764709888,2554318921764709888,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921770794496,2554318921770794496,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921777887232,2554318921777887232,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921779019264,2554318921779019264,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921788168192,2554318921788168192,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318921790141440,2554318921790141440,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,10,2554318921800289792,2554318921800289792,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
4,11,2554318921813496320,2554318921813496320,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
4,9,2554318921814664704,2554318921814664704,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921814828544,2554318921814828544,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921825203200,2554318921825203200,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921825591296,2554318921825591296,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921842664960,2554318921842664960,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
2,4,2554318921846818304,2554318921846818304,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,12,2554318921851774976,2554318921851774976,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921858760192,2554318921858760192,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318921860145152,2554318921860145152,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921866137600,2554318921866137600,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921875315200,2554318921875315200,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921883580928,2554318921883580928,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,12,2554318921885775872,2554318921885775872,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
11,12,2554318921894856192,2554318921894856192,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,9,2554318921896312320,2554318921896312320,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318921905725952,2554318921905725952,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,4,2554318921912691200,2554318921912691200,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318921930841600,2554318921930841600,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318921930959360,2554318921930959360,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921932682752,2554318921932682752,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921932968448,2554318921932968448,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
2,12,2554318921937163776,2554318921937163776,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
1,12,2554318921938197504,2554318921938197504,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921938658304,2554318921938658304,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921952112128,2554318921952112128,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318921956996096,2554318921956996096,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318921961620480,2554318921961620480,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318921969455104,2554318921969455104,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318921973983232,2554318921973983232,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318921980617728,2554318921980617728,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318921999356416,2554318921999356416,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318922012762624,2554318922012762624,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318922019456000,2554318922019456000,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318922020472832,2554318922020472832,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318922027208704,2554318922027208704,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318922036860416,2554318922036860416,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318922045806080,2554318922045806080,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318922055810560,2554318922055810560,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,9,2554318922063610368,2554318922063610368,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318922069113344,2554318922069113344,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,9,2554318922074753536,2554318922074753536,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
11,12,2554318922075637248,2554318922075637248,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
4,12,2554318922079790080,2554318922079790080,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318922112639488,2554318922112639488,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318922113033728,2554318922113033728,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,4,2554318922115788288,2554318922115788288,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
2,7,2554318922119764480,2554318922119764480,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_V,VV
9,12,2554318922120771072,2554318922120771072,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
2,4,2554318922132297728,2554318922132297728,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
4,9,2554318922135728128,2554318922135728128,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318922136514560,2554318922136514560,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318922171935232,2554318922171935232,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318922178567680,2554318922178567680,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,12,2554318922196966912,2554318922196966912,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
9,12,2554318922202706944,2554318922202706944,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
9,12,2554318922222343680,2554318922222343680,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,4,2554318922235365376,2554318922235365376,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,9,2554318922239861760,2554318922239861760,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,9,2554318922242327040,2554318922242327040,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
1,4,2554318922243297792,2554318922243297792,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
4,7,2554318922244851712,2554318922244851712,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,4,2554318922252490240,2554318922252490240,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,4,2554318922255043584,2554318922255043584,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,DB_H,HH
1,12,2554318922263548928,2554318922263548928,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,12,2554318922293340672,2554318922293340672,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
2,4,2554318922297296896,2554318922297296896,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,SB,SB
1,9,2554318922308541440,2554318922308541440,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,HH
4,11,2554318922312944128,2554318922312944128,2025-06-18--17h-49m-05s,H,H,2025-06-18--17h-48m-38s,C,C'
