,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,TT,read_time
104,21.4,0,0,0,360606,0,0,0,0,0,0,0,358801,0,0,0,0,77560,2
105,21.6,0,0,0,362408,0,0,0,0,0,0,0,358890,0,0,0,0,78181,2
106,21.8,0,0,0,360734,0,0,0,0,0,0,0,356949,0,0,0,0,77583,2
107,22.0,0,0,0,361318,0,0,0,0,0,0,0,357808,0,0,0,0,78346,2
108,22.2,0,0,0,361829,0,0,0,0,0,0,0,357653,0,0,0,0,78028,2
109,22.4,0,0,0,359707,0,0,0,0,0,0,0,354364,0,0,0,0,77162,2
110,22.6,0,0,0,360349,0,0,0,0,0,0,0,355623,0,0,0,0,77167,2
111,22.8,0,0,0,359832,0,0,0,0,0,0,0,354897,0,0,0,0,76941,2
112,23.0,0,0,0,360634,0,0,0,0,0,0,0,355508,0,0,0,0,77446,2
113,23.2,0,0,0,359765,0,0,0,0,0,0,0,353288,0,0,0,0,76756,2
