data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-06-01--01h-03m-47s,3.0,17.0,9.0,10.0,39.0,,1.3642016307023015,0.5010930132653572
2025-06-01--01h-03m-47s,5.5,11.0,11.0,12.5,40.0,,1.5707963267948966,0.585685543457151
2025-06-01--01h-03m-47s,6.5,11.0,7.0,14.5,39.0,,1.468051548929302,0.5899850981097275
2025-06-01--01h-03m-47s,7.5,10.0,13.0,8.5,39.0,,1.6477954674517201,0.7541277824992026
2025-06-01--01h-03m-47s,8.5,12.0,8.0,11.0,39.5,,1.4693566241812164,0.7211186833767357
2025-06-01--01h-03m-47s,7.0,12.0,9.0,12.5,40.5,,1.4966543445611338,0.6424323987868092
2025-06-01--01h-03m-47s,6.0,6.0,12.0,15.5,39.5,,1.7232853429069952,0.556562403348715
2025-06-01--01h-03m-47s,6.0,8.0,14.0,12.5,40.5,,1.719491821062459,0.6058911188392463
2025-06-01--01h-03m-47s,7.0,12.0,11.0,10.0,40.0,,1.5457937218955355,0.6966983611772631
2025-06-01--01h-03m-47s,8.0,10.0,12.0,9.5,39.5,,1.6214508977136237,0.7424883681445005
2025-06-01--01h-03m-47s,8.5,4.0,12.0,16.5,41.0,,1.7671781166038096,0.6225334197501332
2025-06-01--01h-03m-47s,7.0,14.0,12.0,7.0,40.0,,1.5207754699891267,0.7853981633974483
2025-06-01--01h-03m-47s,7.0,8.0,10.0,14.0,39.0,,1.6221008820590965,0.6154797086703874
2025-06-01--01h-03m-47s,4.0,13.0,10.0,12.0,39.0,,1.493797186138073,0.5235987755982988
2025-06-01--01h-03m-47s,7.0,10.0,12.0,11.0,40.0,,1.6208171836006666,0.6733516172467628
2025-06-01--01h-03m-47s,3.0,14.0,11.0,13.0,41.0,,1.4975601451312728,0.4478323969289325
2025-06-01--01h-03m-47s,6.0,7.0,15.0,11.5,39.5,,1.7747387821580296,0.6255460890660746
2025-06-01--01h-03m-47s,11.0,11.0,8.0,11.0,41.0,,1.4975601451312728,0.7853981633974483
2025-06-01--01h-03m-47s,8.0,15.0,7.0,11.0,41.0,,1.3744145369859835,0.7061190230785984
2025-06-01--01h-03m-47s,9.0,10.0,8.0,13.0,40.0,,1.5207754699891267,0.693980594900994
2025-06-01--01h-03m-47s,3.5,8.0,14.0,13.5,39.0,,1.7252559252790807,0.47096070064992246
2025-06-01--01h-03m-47s,6.5,13.0,6.0,13.5,39.0,,1.390331186398881,0.6066126115746932
2025-06-01--01h-03m-47s,7.5,9.0,13.0,10.0,39.5,,1.672236029408577,0.7137243789447656
2025-06-01--01h-03m-47s,4.5,8.0,15.0,12.5,40.0,,1.746702094958613,0.5404195002705842
2025-06-01--01h-03m-47s,5.0,8.0,13.0,14.0,40.0,,1.696124157962962,0.5386634660807872
2025-06-01--01h-03m-47s,8.5,11.0,7.0,13.5,40.0,,1.4706289056333368,0.6707600617904583
2025-06-01--01h-03m-47s,5.5,7.0,14.0,12.5,39.0,,1.7512614671909121,0.585685543457151
2025-06-01--01h-03m-47s,7.0,10.0,8.0,14.5,39.5,,1.5201417558761694,0.6072331196331615
2025-06-01--01h-03m-47s,7.5,6.0,11.0,14.5,39.0,,1.699355286836322,0.6234926557606733
2025-06-01--01h-03m-47s,6.5,12.0,11.0,11.5,41.0,,1.5464036640172414,0.6446581267820258
2025-06-01--01h-03m-47s,7.0,14.0,5.0,15.0,41.0,,1.3494818844471053,0.5993138964172853
2025-06-01--01h-03m-47s,7.5,11.0,11.0,10.5,40.0,,1.5707963267948966,0.7016741237876036
2025-06-01--01h-03m-47s,4.5,13.0,10.0,12.5,40.0,,1.4957258357181802,0.5404195002705842
2025-06-01--01h-03m-47s,8.5,7.0,11.0,13.0,39.5,,1.672236029408577,0.6799674494131108
2025-06-01--01h-03m-47s,6.5,14.0,9.0,11.0,40.5,,1.447023753236062,0.6553659270402518
2025-06-01--01h-03m-47s,7.0,11.0,8.0,14.0,40.0,,1.4957258357181802,0.6154797086703874
2025-06-01--01h-03m-47s,7.0,11.0,8.0,14.0,40.0,,1.4957258357181802,0.6154797086703874
2025-06-01--01h-03m-47s,5.5,12.0,9.0,13.5,40.0,,1.4957258357181802,0.5680954005937647
2025-06-01--01h-03m-47s,7.5,9.0,9.0,15.0,40.5,,1.5707963267948966,0.6154797086703874
2025-06-01--01h-03m-47s,9.5,6.0,11.0,13.0,39.5,,1.697719105693102,0.7073032483672241
2025-06-01--01h-03m-47s,5.0,14.0,9.0,12.0,40.0,,1.445468495626831,0.573203309100855
2025-06-01--01h-03m-47s,7.0,6.0,10.0,18.0,41.0,,1.6685127356440028,0.5575988266995366
2025-06-01--01h-03m-47s,7.0,8.0,13.0,13.0,41.0,,1.6930518658346783,0.6330518363897495
2025-06-01--01h-03m-47s,4.5,9.0,10.0,17.5,41.0,,1.5951889895725517,0.4693055390570758
2025-06-01--01h-03m-47s,9.0,11.0,8.0,12.0,40.0,,1.4957258357181802,0.7137243789447656
2025-06-01--01h-03m-47s,4.5,8.0,13.0,13.5,39.0,,1.699355286836322,0.5235987755982988
2025-06-01--01h-03m-47s,8.0,12.0,10.0,10.5,40.5,,1.521393517472283,0.7176232397074849
