data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--17h-56m-35s,1.0,63.0,1.0,15.0,80.0,0.6840812317953292,0.25268025514207865
2025-05-23--17h-56m-35s,2.5,64.0,0.0,13.5,80.0,0.6435011087932843,0.4063777806843303
2025-05-23--17h-56m-35s,2.0,54.0,5.0,19.0,80.0,0.9115769233829636,0.3137278864615954
2025-05-23--17h-56m-35s,0.5,57.0,1.0,21.5,80.0,0.7953988301841436,0.15133263697721575
2025-05-23--17h-56m-35s,0.0,59.0,2.0,19.0,80.0,0.7777416141689957,0.0
2025-05-23--17h-56m-35s,0.0,63.0,1.0,16.0,80.0,0.6840812317953292,0.0
2025-05-23--17h-56m-35s,1.0,55.0,3.0,21.0,80.0,0.863211890069541,0.21484983307571223
2025-05-23--17h-56m-35s,1.5,54.0,4.0,20.5,80.0,0.8956647938578649,0.26417863214512494
2025-05-23--17h-56m-35s,0.5,52.0,2.0,25.5,80.0,0.8956647938578649,0.13912341136739856
2025-05-23--17h-56m-35s,1.0,62.0,1.0,16.0,80.0,0.7036279027411377,0.24497866312686414
2025-05-23--17h-56m-35s,1.5,55.0,5.0,18.5,80.0,0.8956647938578649,0.27740551649003575
2025-05-23--17h-56m-35s,0.5,50.0,8.0,21.5,80.0,1.0180812136981134,0.15133263697721575
2025-05-23--17h-56m-35s,1.0,61.0,2.0,16.0,80.0,0.7414352895876503,0.24497866312686414
2025-05-23--17h-56m-35s,0.0,57.0,3.0,20.0,80.0,0.8298316245918765,0.0
2025-05-23--17h-56m-35s,1.5,60.0,3.0,15.5,80.0,0.7777416141689957,0.30159570280483483
2025-05-23--17h-56m-35s,0.0,61.0,2.0,17.0,80.0,0.7414352895876503,0.0
2025-05-23--17h-56m-35s,2.0,54.0,3.0,21.0,80.0,0.879547290121527,0.29933402641777124
2025-05-23--17h-56m-35s,1.5,54.0,1.0,23.5,80.0,0.8466449633218115,0.24746706317044773
2025-05-23--17h-56m-35s,1.0,55.0,4.0,20.0,80.0,0.879547290121527,0.21998797739545944
2025-05-23--17h-56m-35s,1.0,55.0,4.0,20.0,80.0,0.879547290121527,0.21998797739545944
2025-05-23--17h-56m-35s,0.5,58.0,2.0,19.5,80.0,0.7953988301841436,0.15878021464576067
2025-05-23--17h-56m-35s,0.0,60.0,2.0,18.0,80.0,0.759761932507315,0.0
2025-05-23--17h-56m-35s,1.0,58.0,4.0,17.0,80.0,0.8298316245918765,0.23794112483020827
2025-05-23--17h-56m-35s,1.0,57.0,3.0,19.0,80.0,0.8298316245918765,0.2255134058981312
2025-05-23--17h-56m-35s,1.0,63.0,1.0,15.0,80.0,0.6840812317953292,0.25268025514207865
2025-05-23--17h-56m-35s,1.5,59.0,0.0,19.5,80.0,0.7414352895876503,0.2705497629785729
2025-05-23--17h-56m-35s,0.5,55.0,1.0,23.5,80.0,0.8298316245918765,0.14484349699855972
2025-05-23--17h-56m-35s,2.5,64.0,1.0,12.5,80.0,0.6640542772427502,0.4205343352839651
2025-05-23--17h-56m-35s,0.0,63.0,3.0,14.0,80.0,0.7227342478134156,0.0
2025-05-23--17h-56m-35s,0.5,57.0,3.0,19.5,80.0,0.8298316245918765,0.15878021464576067
2025-05-23--17h-56m-35s,1.5,54.0,3.0,21.5,80.0,0.879547290121527,0.2582375704234379
2025-05-23--17h-56m-35s,1.5,61.0,4.0,13.5,80.0,0.7777416141689957,0.3217505543966422
2025-05-23--17h-56m-35s,0.5,52.0,3.0,24.5,80.0,0.9115769233829636,0.1418970546041639
2025-05-23--17h-56m-35s,1.0,56.0,3.0,20.0,80.0,0.8466449633218115,0.21998797739545944
2025-05-23--17h-56m-35s,1.5,59.0,1.0,18.5,80.0,0.759761932507315,0.27740551649003575
2025-05-23--17h-56m-35s,1.5,47.0,6.0,25.5,80.0,1.032702636582542,0.23794112483020827
2025-05-23--17h-56m-35s,0.5,60.0,1.0,18.5,80.0,0.7414352895876503,0.16294147861051939
2025-05-23--17h-56m-35s,1.0,62.0,0.0,17.0,80.0,0.6840812317953292,0.23794112483020827
2025-05-23--17h-56m-35s,2.0,64.0,1.0,13.0,80.0,0.6640542772427502,0.37379217483451044
2025-05-23--17h-56m-35s,1.0,59.0,3.0,17.0,80.0,0.7953988301841436,0.23794112483020827
2025-05-23--17h-56m-35s,0.5,60.0,1.0,18.5,80.0,0.7414352895876503,0.16294147861051939
2025-05-23--17h-56m-35s,0.5,56.0,4.0,19.5,80.0,0.863211890069541,0.15878021464576067
2025-05-23--17h-56m-35s,3.0,56.0,0.0,21.0,80.0,0.7953988301841436,0.3613671239067078
2025-05-23--17h-56m-35s,0.5,59.0,3.0,17.5,80.0,0.7953988301841436,0.16744807921968932
2025-05-23--17h-56m-35s,0.5,56.0,1.0,22.5,80.0,0.8127555613686607,0.14798146074878374
2025-05-23--17h-56m-35s,1.0,58.0,2.0,19.0,80.0,0.7953988301841436,0.2255134058981312
2025-05-23--17h-56m-35s,2.0,54.0,4.0,20.0,80.0,0.8956647938578649,0.30627736916966947
2025-05-23--17h-56m-35s,0.5,58.0,1.0,20.5,80.0,0.7777416141689957,0.15492231987081348
2025-05-23--17h-56m-35s,0.0,58.0,4.0,18.0,80.0,0.8298316245918765,0.0
