data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-31--06h-03m-47s,124,1.5,2.0,1.0,0.0,4.5
2025-05-31--06h-03m-47s,125,0.0,1.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,126,2.0,0.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,127,1.0,3.0,2.0,0.5,6.5
2025-05-31--06h-03m-47s,128,0.5,1.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,129,3.0,0.0,1.0,0.0,4.0
2025-05-31--06h-03m-47s,130,1.0,0.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,131,0.5,0.0,0.0,0.0,0.5
2025-05-31--06h-03m-47s,132,1.5,2.0,1.0,0.0,4.5
2025-05-31--06h-03m-47s,133,1.5,0.0,1.0,0.0,2.5
2025-05-31--06h-03m-47s,134,2.0,1.0,0.0,0.0,3.0
2025-05-31--06h-03m-47s,135,1.5,0.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,136,3.5,1.0,0.0,0.0,4.5
2025-05-31--06h-03m-47s,137,0.5,0.0,1.0,0.0,1.5
2025-05-31--06h-03m-47s,138,1.0,0.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,139,1.0,1.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,140,1.0,2.0,2.0,0.0,5.0
2025-05-31--06h-03m-47s,141,2.0,0.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,142,1.0,1.0,0.0,0.0,2.0
2025-05-31--06h-03m-47s,143,1.0,0.0,1.0,0.5,2.5
2025-05-31--06h-03m-47s,144,1.0,0.0,1.0,0.0,2.0
2025-05-31--06h-03m-47s,145,1.0,1.0,1.0,0.0,3.0
2025-05-31--06h-03m-47s,146,1.0,2.0,0.0,0.0,3.0
2025-05-31--06h-03m-47s,147,1.5,0.0,0.0,0.0,1.5
2025-05-31--06h-03m-47s,148,0.0,3.0,1.0,0.0,4.0
2025-05-31--06h-03m-47s,149,1.5,1.0,0.0,0.0,2.5
2025-05-31--06h-03m-47s,150,1.0,0.0,0.0,0.0,1.0
2025-05-31--06h-03m-47s,151,1.5,0.0,0.0,0.5,2.0
2025-05-31--06h-03m-47s,152,2.0,1.0,0.0,0.0,3.0
