data_dir,repetition,C,DB_H,DB_V,SB,N
2025-05-29--01h-41m-15s,135,0.0,0.0,2.0,0.0,2.0
2025-05-29--01h-41m-15s,136,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,137,0.0,0.0,6.0,1.5,7.5
2025-05-29--01h-41m-15s,138,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,139,0.0,0.0,0.0,2.0,2.0
2025-05-29--01h-41m-15s,140,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,141,0.0,0.0,0.0,0.5,0.5
2025-05-29--01h-41m-15s,142,0.0,0.0,2.0,1.0,3.0
2025-05-29--01h-41m-15s,143,0.0,0.0,7.0,0.5,7.5
2025-05-29--01h-41m-15s,144,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,145,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,146,0.0,0.0,6.0,1.0,7.0
2025-05-29--01h-41m-15s,147,0.0,0.0,2.0,1.0,3.0
2025-05-29--01h-41m-15s,148,0.0,0.0,3.0,0.5,3.5
2025-05-29--01h-41m-15s,149,0.0,0.0,6.0,1.0,7.0
2025-05-29--01h-41m-15s,150,0.0,0.0,5.0,1.0,6.0
2025-05-29--01h-41m-15s,151,0.0,0.0,1.0,0.0,1.0
2025-05-29--01h-41m-15s,152,0.0,0.0,2.0,1.0,3.0
2025-05-29--01h-41m-15s,153,0.0,1.0,5.0,2.0,8.0
2025-05-29--01h-41m-15s,154,0.0,0.0,4.0,2.0,6.0
2025-05-29--01h-41m-15s,155,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,156,0.5,1.0,5.0,0.5,7.0
2025-05-29--01h-41m-15s,157,0.0,0.0,7.0,1.0,8.0
2025-05-29--01h-41m-15s,158,0.0,0.0,6.0,1.5,7.5
2025-05-29--01h-41m-15s,159,0.0,0.0,6.0,1.0,7.0
2025-05-29--01h-41m-15s,160,0.0,0.0,6.0,1.0,7.0
2025-05-29--01h-41m-15s,161,0.0,0.0,9.0,0.0,9.0
2025-05-29--01h-41m-15s,162,0.0,0.0,9.0,2.5,11.5
2025-05-29--01h-41m-15s,163,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,164,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,165,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,166,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,167,0.0,0.0,1.0,1.0,2.0
2025-05-29--01h-41m-15s,168,0.5,0.0,2.0,0.5,3.0
2025-05-29--01h-41m-15s,169,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,170,0.5,0.0,3.0,0.0,3.5
2025-05-29--01h-41m-15s,171,0.0,0.0,4.0,1.5,5.5
2025-05-29--01h-41m-15s,172,0.5,0.0,2.0,0.5,3.0
2025-05-29--01h-41m-15s,173,0.0,0.0,4.0,1.5,5.5
2025-05-29--01h-41m-15s,174,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,175,0.0,0.0,3.0,0.5,3.5
2025-05-29--01h-41m-15s,176,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,177,0.0,0.0,5.0,0.5,5.5
2025-05-29--01h-41m-15s,178,0.0,0.0,8.0,0.0,8.0
2025-05-29--01h-41m-15s,179,0.0,0.0,7.0,0.5,7.5
2025-05-29--01h-41m-15s,180,0.0,0.0,6.0,1.0,7.0
2025-05-29--01h-41m-15s,181,0.5,0.0,4.0,0.5,5.0
2025-05-29--01h-41m-15s,182,0.5,0.0,3.0,0.0,3.5
2025-05-29--01h-41m-15s,183,0.0,0.0,7.0,0.0,7.0
2025-05-29--01h-41m-15s,184,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,185,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,186,1.0,0.0,3.0,0.0,4.0
2025-05-29--01h-41m-15s,187,0.0,0.0,0.0,0.5,0.5
2025-05-29--01h-41m-15s,188,0.0,0.0,4.0,0.5,4.5
2025-05-29--01h-41m-15s,189,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,190,0.0,0.0,4.0,0.0,4.0
2025-05-29--01h-41m-15s,191,0.0,0.0,10.0,1.0,11.0
2025-05-29--01h-41m-15s,192,0.0,0.0,3.0,0.0,3.0
2025-05-29--01h-41m-15s,193,0.0,0.0,4.0,1.0,5.0
2025-05-29--01h-41m-15s,194,0.5,0.0,9.0,0.5,10.0
2025-05-29--01h-41m-15s,195,0.0,0.0,2.0,0.5,2.5
2025-05-29--01h-41m-15s,196,0.0,0.0,3.0,0.5,3.5
2025-05-29--01h-41m-15s,197,0.0,0.0,3.0,0.5,3.5
2025-05-29--01h-41m-15s,198,0.5,0.0,5.0,0.5,6.0
2025-05-29--01h-41m-15s,199,0.0,0.0,4.0,2.5,6.5
2025-05-29--01h-41m-15s,200,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,201,0.0,0.0,1.0,0.5,1.5
2025-05-29--01h-41m-15s,202,0.5,0.0,1.0,1.0,2.5
2025-05-29--01h-41m-15s,203,0.0,0.0,3.0,1.0,4.0
2025-05-29--01h-41m-15s,204,0.0,0.0,2.0,0.5,2.5
