data_dir,C,SB,DB_V,DB_H,N
2025-06-03--11h-40m-23s,37.0,34.0,76.0,13.0,160.0
2025-06-03--11h-40m-23s,34.0,43.0,69.0,14.0,160.0
2025-06-03--11h-40m-23s,31.0,41.0,72.0,16.0,160.0
2025-06-03--11h-40m-23s,33.0,38.0,73.0,16.0,160.0
2025-06-03--11h-40m-23s,31.0,43.0,69.0,17.0,160.0
2025-06-03--11h-40m-23s,31.0,42.0,70.0,17.0,160.0
2025-06-03--11h-40m-23s,35.0,45.0,73.0,7.0,160.0
2025-06-03--11h-40m-23s,39.0,26.0,72.0,23.0,160.0
2025-06-03--11h-40m-23s,37.0,29.0,79.0,15.0,160.0
2025-06-03--11h-40m-23s,35.0,39.0,71.0,15.0,160.0
2025-06-03--11h-40m-23s,38.0,36.0,74.0,12.0,160.0
2025-06-03--11h-40m-23s,34.0,33.0,68.0,25.0,160.0
2025-06-03--11h-40m-23s,34.0,25.0,85.0,16.0,160.0
2025-06-03--11h-40m-23s,33.0,36.0,83.0,8.0,160.0
2025-06-03--11h-40m-23s,26.0,37.0,82.0,15.0,160.0
2025-06-03--11h-40m-23s,23.0,42.0,80.0,15.0,160.0
2025-06-03--11h-40m-23s,28.0,43.0,70.0,19.0,160.0
2025-06-03--11h-40m-23s,34.0,37.0,74.0,15.0,160.0
2025-06-03--11h-40m-23s,32.0,42.0,70.0,16.0,160.0
2025-06-03--11h-40m-23s,35.0,30.0,80.0,15.0,160.0
2025-06-03--11h-40m-23s,34.0,36.0,77.0,13.0,160.0
2025-06-03--11h-40m-23s,41.0,38.0,64.0,17.0,160.0
2025-06-03--11h-40m-23s,42.0,39.0,66.0,13.0,160.0
2025-06-03--11h-40m-23s,47.0,31.0,68.0,14.0,160.0
2025-06-03--11h-40m-23s,35.0,39.0,64.0,22.0,160.0
2025-06-03--11h-40m-23s,31.0,31.0,77.0,21.0,160.0
2025-06-03--11h-40m-23s,30.0,38.0,79.0,13.0,160.0
2025-06-03--11h-40m-23s,36.0,38.0,73.0,13.0,160.0
2025-06-03--11h-40m-23s,38.0,41.0,67.0,14.0,160.0
2025-06-03--11h-40m-23s,35.0,36.0,74.0,15.0,160.0
2025-06-03--11h-40m-23s,35.0,42.0,62.0,21.0,160.0
2025-06-03--11h-40m-23s,34.0,36.0,68.0,22.0,160.0
2025-06-03--11h-40m-23s,28.0,43.0,76.0,13.0,160.0
2025-06-03--11h-40m-23s,33.0,36.0,78.0,13.0,160.0
2025-06-03--11h-40m-23s,29.0,31.0,82.0,18.0,160.0
2025-06-03--11h-40m-23s,28.0,44.0,71.0,17.0,160.0
2025-06-03--11h-40m-23s,30.0,37.0,71.0,22.0,160.0
2025-06-03--11h-40m-23s,28.0,36.0,77.0,19.0,160.0
2025-06-03--11h-40m-23s,34.0,35.0,76.0,15.0,160.0
2025-06-03--11h-40m-23s,31.0,39.0,72.0,18.0,160.0
2025-06-03--11h-40m-23s,32.0,42.0,66.0,20.0,160.0
2025-06-03--11h-40m-23s,35.0,40.0,67.0,18.0,160.0
2025-06-03--11h-40m-23s,35.0,31.0,79.0,15.0,160.0
2025-06-03--11h-40m-23s,32.0,36.0,76.0,16.0,160.0
2025-06-03--11h-40m-23s,26.0,35.0,80.0,19.0,160.0
2025-06-03--11h-40m-23s,35.0,46.0,69.0,10.0,160.0
2025-06-03--11h-40m-23s,35.0,37.0,71.0,17.0,160.0
2025-06-03--11h-40m-23s,40.0,31.0,71.0,18.0,160.0
2025-06-03--11h-40m-23s,32.0,33.0,79.0,16.0,160.0
2025-06-03--11h-40m-23s,33.0,38.0,78.0,11.0,160.0
2025-06-03--11h-40m-23s,39.0,34.0,71.0,16.0,160.0
2025-06-03--11h-40m-23s,30.0,42.0,72.0,16.0,160.0
2025-06-03--11h-40m-23s,32.0,31.0,80.0,17.0,160.0
2025-06-03--11h-40m-23s,31.0,37.0,74.0,18.0,160.0
2025-06-03--11h-40m-23s,34.0,41.0,71.0,14.0,160.0
2025-06-03--11h-40m-23s,23.0,39.0,80.0,18.0,160.0
2025-06-03--11h-40m-23s,35.0,38.0,76.0,11.0,160.0
2025-06-03--11h-40m-23s,33.0,40.0,71.0,16.0,160.0
2025-06-03--11h-40m-23s,32.0,38.0,81.0,9.0,160.0
2025-06-03--11h-40m-23s,33.0,39.0,75.0,13.0,160.0
2025-06-03--11h-40m-23s,34.0,34.0,74.0,18.0,160.0
2025-06-03--11h-40m-23s,32.0,30.0,86.0,12.0,160.0
2025-06-03--11h-40m-23s,38.0,34.0,73.0,15.0,160.0
2025-06-03--11h-40m-23s,32.0,36.0,68.0,24.0,160.0
2025-06-03--11h-40m-23s,44.0,30.0,69.0,17.0,160.0
2025-06-03--11h-40m-23s,22.0,42.0,81.0,15.0,160.0
2025-06-03--11h-40m-23s,40.0,36.0,77.0,7.0,160.0
2025-06-03--11h-40m-23s,28.0,42.0,72.0,18.0,160.0
2025-06-03--11h-40m-23s,32.0,38.0,78.0,12.0,160.0
2025-06-03--11h-40m-23s,38.0,40.0,69.0,13.0,160.0
2025-06-03--11h-40m-23s,33.0,39.0,67.0,21.0,160.0
2025-06-03--11h-40m-23s,26.0,39.0,83.0,12.0,160.0
2025-06-03--11h-40m-23s,29.0,47.0,68.0,16.0,160.0
2025-06-03--11h-40m-23s,28.0,45.0,76.0,11.0,160.0
2025-06-03--11h-40m-23s,30.0,37.0,81.0,12.0,160.0
2025-06-03--11h-40m-23s,50.0,26.0,66.0,18.0,160.0
2025-06-03--11h-40m-23s,34.0,27.0,85.0,14.0,160.0
2025-06-03--11h-40m-23s,28.0,38.0,78.0,16.0,160.0
2025-06-03--11h-40m-23s,35.0,36.0,70.0,19.0,160.0
2025-06-03--11h-40m-23s,41.0,30.0,68.0,21.0,160.0
2025-06-03--11h-40m-23s,35.0,34.0,77.0,14.0,160.0
2025-06-03--11h-40m-23s,23.0,35.0,85.0,17.0,160.0
