data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--16h-57m-30s,1.0,0.0,30.0,9.0,40.0,2.4362991516840635,0.3172771730595597,139.58965902279962,18.178642952154597
2025-05-23--16h-57m-30s,0.5,0.0,32.0,7.5,40.0,2.5186801516870747,0.24907281986978974,144.30974263503938,14.270821369961142
2025-05-23--16h-57m-34s,1.0,0.0,31.0,8.0,40.0,2.4764067053368013,0.3351499755574887,141.887652573696,19.202679103356804
2025-05-23--16h-57m-34s,0.0,0.0,36.0,4.0,40.0,2.723107492325756,0.0,156.02256647071903,0.0
2025-05-23--16h-57m-34s,0.5,0.0,36.0,3.5,40.0,2.723107492325756,0.3564338525814142,156.02256647071903,20.422155428503196
2025-05-23--16h-57m-38s,2.0,1.0,35.0,2.0,40.0,2.6118638991287852,0.7778978821189679,149.64877808266237,44.57026553758209
2025-05-23--16h-57m-38s,0.5,0.0,34.0,5.5,40.0,2.6118638991287852,0.28872253391069386,149.64877808266237,16.54258264340555
2025-05-23--16h-57m-42s,0.5,0.0,35.0,4.5,40.0,2.664480725276315,0.3172771730595597,152.66350015228943,18.178642952154597
2025-05-23--16h-57m-42s,1.0,1.0,36.0,2.0,40.0,2.664480725276315,0.6084259956212019,152.66350015228943,34.860241695139976
2025-05-23--16h-57m-42s,1.0,1.0,34.0,4.0,40.0,2.5636044183967206,0.45767422457177315,146.88371351522215,26.22280145988524
2025-05-23--16h-57m-45s,1.5,0.0,37.0,1.5,40.0,2.7907583189782468,0.7778978821189679,159.8986733184779,44.57026553758209
2025-05-23--16h-57m-45s,1.5,0.0,36.0,2.5,40.0,2.723107492325756,0.6518095024818801,156.02256647071903,37.34593353873369
2025-05-23--16h-57m-45s,0.5,0.0,37.0,2.5,40.0,2.7907583189782468,0.4149717231447266,159.8986733184779,23.776128353464095
2025-05-23--16h-57m-49s,0.5,0.0,37.0,2.5,40.0,2.7907583189782468,0.4149717231447266,159.8986733184779,23.776128353464095
2025-05-23--16h-57m-49s,1.0,1.0,36.0,2.0,40.0,2.664480725276315,0.6084259956212019,152.66350015228943,34.860241695139976
2025-05-23--16h-57m-53s,0.0,0.0,39.0,1.0,40.0,2.9989777240192126,0.0,171.82876644005026,0.0
2025-05-23--16h-57m-53s,1.0,0.0,38.0,1.0,40.0,2.8742148526381652,0.7778978821189679,164.6803804699827,44.57026553758209
2025-05-23--16h-57m-57s,0.0,0.0,39.0,1.0,40.0,2.9989777240192126,0.0,171.82876644005026,0.0
2025-05-23--16h-57m-57s,0.5,0.0,38.0,1.5,40.0,2.8742148526381652,0.517127578698283,164.6803804699827,29.629227729230948
2025-05-23--16h-58m-01s,0.5,0.0,38.0,1.5,40.0,2.8742148526381652,0.517127578698283,164.6803804699827,29.629227729230948
2025-05-23--16h-58m-01s,1.5,0.0,38.0,0.5,40.0,2.8742148526381652,1.0406776362569188,164.6803804699827,59.626436391172106
2025-05-23--16h-58m-09s,0.0,0.0,40.0,0.0,40.0,3.141592653589793,,180.0,
2025-05-23--16h-58m-13s,1.0,0.0,39.0,0.0,40.0,2.9989777240192126,1.5707963267948966,171.82876644005026,90.0
2025-05-23--16h-58m-13s,0.0,0.0,40.0,0.0,40.0,3.141592653589793,,180.0,
2025-05-23--16h-58m-13s,1.0,0.0,39.0,0.0,40.0,2.9989777240192126,1.5707963267948966,171.82876644005026,90.0
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,1.5,38.0,0.0,0.5,40.0,0.26737780095162794,1.0406776362569188,15.319619530017288,59.626436391172106
2025-05-23--17h-24m-53s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-24m-53s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-24m-53s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-24m-53s,0.5,39.0,0.0,0.5,40.0,0.14261492957058086,0.7778978821189679,8.171233559949766,44.57026553758209
2025-05-23--17h-24m-53s,1.0,39.0,0.0,0.0,40.0,0.14261492957058086,1.5707963267948966,8.171233559949766,90.0
2025-05-23--17h-24m-53s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-24m-53s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
2025-05-23--17h-24m-53s,0.0,40.0,0.0,0.0,40.0,0.0,,0.0,
