detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
7,9,C,10,0,2025-05-23--16h-55m-30s-531554
7,12,C,10,0,2025-05-23--16h-55m-30s-531554
7,11,C,10,0,2025-05-23--16h-55m-30s-531554
7,10,C,10,0,2025-05-23--16h-55m-30s-531554
2,9,C,10,0,2025-05-23--16h-55m-30s-531554
2,12,C,10,0,2025-05-23--16h-55m-30s-531554
2,11,C,10,0,2025-05-23--16h-55m-30s-531554
2,10,C,10,0,2025-05-23--16h-55m-30s-531554
2,4,SB,10,0,2025-05-23--16h-55m-30s-531554
2,7,DB_V,10,0,2025-05-23--16h-55m-30s-531554
9,12,DB_H,12,1,2025-05-23--16h-55m-30s-568424
9,11,SB,12,0,2025-05-23--16h-55m-30s-568424
9,10,SB,12,0,2025-05-23--16h-55m-30s-568424
11,12,SB,12,0,2025-05-23--16h-55m-30s-568424
10,12,SB,12,0,2025-05-23--16h-55m-30s-568424
10,11,DB_V,12,0,2025-05-23--16h-55m-30s-568424
1,9,C,12,0,2025-05-23--16h-55m-30s-568424
1,12,C,12,0,2025-05-23--16h-55m-30s-568424
1,11,C,12,0,2025-05-23--16h-55m-30s-568424
1,10,C,12,0,2025-05-23--16h-55m-30s-568424
1,4,DB_H,12,0,2025-05-23--16h-55m-30s-568424
1,7,SB,12,0,2025-05-23--16h-55m-30s-568424
1,2,SB,12,0,2025-05-23--16h-55m-30s-568424
4,9,C,12,0,2025-05-23--16h-55m-30s-568424
4,12,C,12,0,2025-05-23--16h-55m-30s-568424
4,11,C,12,0,2025-05-23--16h-55m-30s-568424
4,10,C,12,0,2025-05-23--16h-55m-30s-568424
4,7,SB,12,0,2025-05-23--16h-55m-30s-568424
7,9,C,12,0,2025-05-23--16h-55m-30s-568424
7,12,C,12,0,2025-05-23--16h-55m-30s-568424
7,11,C,12,0,2025-05-23--16h-55m-30s-568424
7,10,C,12,0,2025-05-23--16h-55m-30s-568424
2,9,C,12,0,2025-05-23--16h-55m-30s-568424
2,12,C,12,0,2025-05-23--16h-55m-30s-568424
2,11,C,12,0,2025-05-23--16h-55m-30s-568424
2,10,C,12,0,2025-05-23--16h-55m-30s-568424
2,4,SB,12,0,2025-05-23--16h-55m-30s-568424
2,7,DB_V,12,0,2025-05-23--16h-55m-30s-568424
9,12,DB_H,13,1,2025-05-23--16h-55m-30s-587332
9,11,SB,13,0,2025-05-23--16h-55m-30s-587332
9,10,SB,13,0,2025-05-23--16h-55m-30s-587332
11,12,SB,13,0,2025-05-23--16h-55m-30s-587332
10,12,SB,13,0,2025-05-23--16h-55m-30s-587332
10,11,DB_V,13,0,2025-05-23--16h-55m-30s-587332
1,9,C,13,0,2025-05-23--16h-55m-30s-587332
1,12,C,13,0,2025-05-23--16h-55m-30s-587332
1,11,C,13,0,2025-05-23--16h-55m-30s-587332
1,10,C,13,0,2025-05-23--16h-55m-30s-587332
1,4,DB_H,13,2,2025-05-23--16h-55m-30s-587332
1,7,SB,13,0,2025-05-23--16h-55m-30s-587332
1,2,SB,13,0,2025-05-23--16h-55m-30s-587332
4,9,C,13,0,2025-05-23--16h-55m-30s-587332
4,12,C,13,0,2025-05-23--16h-55m-30s-587332
4,11,C,13,0,2025-05-23--16h-55m-30s-587332
4,10,C,13,0,2025-05-23--16h-55m-30s-587332
4,7,SB,13,0,2025-05-23--16h-55m-30s-587332
7,9,C,13,0,2025-05-23--16h-55m-30s-587332
7,12,C,13,0,2025-05-23--16h-55m-30s-587332
7,11,C,13,0,2025-05-23--16h-55m-30s-587332
7,10,C,13,0,2025-05-23--16h-55m-30s-587332
2,9,C,13,0,2025-05-23--16h-55m-30s-587332
2,12,C,13,0,2025-05-23--16h-55m-30s-587332
2,11,C,13,0,2025-05-23--16h-55m-30s-587332
2,10,C,13,0,2025-05-23--16h-55m-30s-587332
2,4,SB,13,0,2025-05-23--16h-55m-30s-587332
2,7,DB_V,13,0,2025-05-23--16h-55m-30s-587332
9,12,DB_H,15,0,2025-05-23--16h-55m-30s-628051
9,11,SB,15,0,2025-05-23--16h-55m-30s-628051
9,10,SB,15,0,2025-05-23--16h-55m-30s-628051
11,12,SB,15,1,2025-05-23--16h-55m-30s-628051
10,12,SB,15,0,2025-05-23--16h-55m-30s-628051
10,11,DB_V,15,0,2025-05-23--16h-55m-30s-628051
1,9,C,15,0,2025-05-23--16h-55m-30s-628051
1,12,C,15,0,2025-05-23--16h-55m-30s-628051
1,11,C,15,0,2025-05-23--16h-55m-30s-628051
1,10,C,15,0,2025-05-23--16h-55m-30s-628051
1,4,DB_H,15,0,2025-05-23--16h-55m-30s-628051
1,7,SB,15,0,2025-05-23--16h-55m-30s-628051
1,2,SB,15,0,2025-05-23--16h-55m-30s-628051
4,9,C,15,0,2025-05-23--16h-55m-30s-628051
4,12,C,15,0,2025-05-23--16h-55m-30s-628051
4,11,C,15,0,2025-05-23--16h-55m-30s-628051
4,10,C,15,0,2025-05-23--16h-55m-30s-628051
4,7,SB,15,0,2025-05-23--16h-55m-30s-628051
7,9,C,15,0,2025-05-23--16h-55m-30s-628051
7,12,C,15,0,2025-05-23--16h-55m-30s-628051
7,11,C,15,0,2025-05-23--16h-55m-30s-628051
7,10,C,15,0,2025-05-23--16h-55m-30s-628051
2,9,C,15,0,2025-05-23--16h-55m-30s-628051
2,12,C,15,0,2025-05-23--16h-55m-30s-628051
2,11,C,15,0,2025-05-23--16h-55m-30s-628051
2,10,C,15,0,2025-05-23--16h-55m-30s-628051
2,4,SB,15,0,2025-05-23--16h-55m-30s-628051
2,7,DB_V,15,0,2025-05-23--16h-55m-30s-628051
9,12,DB_H,16,1,2025-05-23--16h-55m-30s-647083
9,11,SB,16,0,2025-05-23--16h-55m-30s-647083
9,10,SB,16,0,2025-05-23--16h-55m-30s-647083
11,12,SB,16,0,2025-05-23--16h-55m-30s-647083
10,12,SB,16,0,2025-05-23--16h-55m-30s-647083
10,11,DB_V,16,0,2025-05-23--16h-55m-30s-647083
1,9,C,16,0,2025-05-23--16h-55m-30s-647083
1,12,C,16,0,2025-05-23--16h-55m-30s-647083
1,11,C,16,0,2025-05-23--16h-55m-30s-647083
1,10,C,16,0,2025-05-23--16h-55m-30s-647083
1,4,DB_H,16,1,2025-05-23--16h-55m-30s-647083
1,7,SB,16,0,2025-05-23--16h-55m-30s-647083
1,2,SB,16,0,2025-05-23--16h-55m-30s-647083
4,9,C,16,0,2025-05-23--16h-55m-30s-647083
4,12,C,16,0,2025-05-23--16h-55m-30s-647083
4,11,C,16,0,2025-05-23--16h-55m-30s-647083
4,10,C,16,0,2025-05-23--16h-55m-30s-647083
4,7,SB,16,0,2025-05-23--16h-55m-30s-647083
7,9,C,16,0,2025-05-23--16h-55m-30s-647083
7,12,C,16,0,2025-05-23--16h-55m-30s-647083
7,11,C,16,0,2025-05-23--16h-55m-30s-647083
7,10,C,16,0,2025-05-23--16h-55m-30s-647083
2,9,C,16,0,2025-05-23--16h-55m-30s-647083
2,12,C,16,0,2025-05-23--16h-55m-30s-647083
2,11,C,16,0,2025-05-23--16h-55m-30s-647083
2,10,C,16,0,2025-05-23--16h-55m-30s-647083
2,4,SB,16,0,2025-05-23--16h-55m-30s-647083
2,7,DB_V,16,0,2025-05-23--16h-55m-30s-647083
9,12,DB_H,17,2,2025-05-23--16h-55m-30s-665980
9,11,SB,17,0,2025-05-23--16h-55m-30s-665980
9,10,SB,17,0,2025-05-23--16h-55m-30s-665980
11,12,SB,17,0,2025-05-23--16h-55m-30s-665980
10,12,SB,17,0,2025-05-23--16h-55m-30s-665980
10,11,DB_V,17,0,2025-05-23--16h-55m-30s-665980
1,9,C,17,0,2025-05-23--16h-55m-30s-665980
1,12,C,17,0,2025-05-23--16h-55m-30s-665980
1,11,C,17,0,2025-05-23--16h-55m-30s-665980
1,10,C,17,0,2025-05-23--16h-55m-30s-665980
1,4,DB_H,17,1,2025-05-23--16h-55m-30s-665980
1,7,SB,17,0,2025-05-23--16h-55m-30s-665980
1,2,SB,17,0,2025-05-23--16h-55m-30s-665980
4,9,C,17,0,2025-05-23--16h-55m-30s-665980
4,12,C,17,0,2025-05-23--16h-55m-30s-665980
4,11,C,17,0,2025-05-23--16h-55m-30s-665980
4,10,C,17,0,2025-05-23--16h-55m-30s-665980
4,7,SB,17,0,2025-05-23--16h-55m-30s-665980
7,9,C,17,0,2025-05-23--16h-55m-30s-665980
7,12,C,17,0,2025-05-23--16h-55m-30s-665980
7,11,C,17,0,2025-05-23--16h-55m-30s-665980
7,10,C,17,0,2025-05-23--16h-55m-30s-665980
2,9,C,17,0,2025-05-23--16h-55m-30s-665980
2,12,C,17,0,2025-05-23--16h-55m-30s-665980
2,11,C,17,0,2025-05-23--16h-55m-30s-665980
2,10,C,17,0,2025-05-23--16h-55m-30s-665980
2,4,SB,17,0,2025-05-23--16h-55m-30s-665980
2,7,DB_V,17,0,2025-05-23--16h-55m-30s-665980
9,12,DB_H,18,1,2025-05-23--16h-55m-30s-687011
9,11,SB,18,0,2025-05-23--16h-55m-30s-687011
9,10,SB,18,0,2025-05-23--16h-55m-30s-687011
11,12,SB,18,0,2025-05-23--16h-55m-30s-687011
10,12,SB,18,0,2025-05-23--16h-55m-30s-687011
10,11,DB_V,18,0,2025-05-23--16h-55m-30s-687011
1,9,C,18,0,2025-05-23--16h-55m-30s-687011
1,12,C,18,0,2025-05-23--16h-55m-30s-687011
1,11,C,18,0,2025-05-23--16h-55m-30s-687011
1,10,C,18,0,2025-05-23--16h-55m-30s-687011
1,4,DB_H,18,1,2025-05-23--16h-55m-30s-687011
1,7,SB,18,0,2025-05-23--16h-55m-30s-687011
1,2,SB,18,0,2025-05-23--16h-55m-30s-687011
4,9,C,18,0,2025-05-23--16h-55m-30s-687011
4,12,C,18,0,2025-05-23--16h-55m-30s-687011
4,11,C,18,0,2025-05-23--16h-55m-30s-687011
4,10,C,18,0,2025-05-23--16h-55m-30s-687011
4,7,SB,18,0,2025-05-23--16h-55m-30s-687011
7,9,C,18,0,2025-05-23--16h-55m-30s-687011
7,12,C,18,0,2025-05-23--16h-55m-30s-687011
7,11,C,18,0,2025-05-23--16h-55m-30s-687011
7,10,C,18,0,2025-05-23--16h-55m-30s-687011
2,9,C,18,0,2025-05-23--16h-55m-30s-687011
2,12,C,18,0,2025-05-23--16h-55m-30s-687011
2,11,C,18,0,2025-05-23--16h-55m-30s-687011
2,10,C,18,0,2025-05-23--16h-55m-30s-687011
2,4,SB,18,0,2025-05-23--16h-55m-30s-687011
2,7,DB_V,18,0,2025-05-23--16h-55m-30s-687011
9,12,DB_H,19,0,2025-05-23--16h-55m-30s-708703
9,11,SB,19,1,2025-05-23--16h-55m-30s-708703
9,10,SB,19,0,2025-05-23--16h-55m-30s-708703
11,12,SB,19,0,2025-05-23--16h-55m-30s-708703
10,12,SB,19,0,2025-05-23--16h-55m-30s-708703
10,11,DB_V,19,0,2025-05-23--16h-55m-30s-708703
1,9,C,19,0,2025-05-23--16h-55m-30s-708703
1,12,C,19,0,2025-05-23--16h-55m-30s-708703
1,11,C,19,0,2025-05-23--16h-55m-30s-708703
1,10,C,19,0,2025-05-23--16h-55m-30s-708703
1,4,DB_H,19,0,2025-05-23--16h-55m-30s-708703
1,7,SB,19,1,2025-05-23--16h-55m-30s-708703
1,2,SB,19,0,2025-05-23--16h-55m-30s-708703
4,9,C,19,0,2025-05-23--16h-55m-30s-708703
4,12,C,19,0,2025-05-23--16h-55m-30s-708703
4,11,C,19,0,2025-05-23--16h-55m-30s-708703
4,10,C,19,0,2025-05-23--16h-55m-30s-708703
4,7,SB,19,0,2025-05-23--16h-55m-30s-708703
7,9,C,19,0,2025-05-23--16h-55m-30s-708703
7,12,C,19,0,2025-05-23--16h-55m-30s-708703
7,11,C,19,0,2025-05-23--16h-55m-30s-708703
7,10,C,19,0,2025-05-23--16h-55m-30s-708703
2,9,C,19,0,2025-05-23--16h-55m-30s-708703
2,12,C,19,0,2025-05-23--16h-55m-30s-708703
2,11,C,19,0,2025-05-23--16h-55m-30s-708703
2,10,C,19,0,2025-05-23--16h-55m-30s-708703
2,4,SB,19,0,2025-05-23--16h-55m-30s-708703
2,7,DB_V,19,0,2025-05-23--16h-55m-30s-708703
9,12,DB_H,20,1,2025-05-23--16h-55m-30s-729579
9,11,SB,20,0,2025-05-23--16h-55m-30s-729579
9,10,SB,20,0,2025-05-23--16h-55m-30s-729579
11,12,SB,20,0,2025-05-23--16h-55m-30s-729579
10,12,SB,20,0,2025-05-23--16h-55m-30s-729579
10,11,DB_V,20,0,2025-05-23--16h-55m-30s-729579
1,9,C,20,0,2025-05-23--16h-55m-30s-729579
1,12,C,20,0,2025-05-23--16h-55m-30s-729579
1,11,C,20,0,2025-05-23--16h-55m-30s-729579
1,10,C,20,0,2025-05-23--16h-55m-30s-729579
1,4,DB_H,20,0,2025-05-23--16h-55m-30s-729579
1,7,SB,20,0,2025-05-23--16h-55m-30s-729579
1,2,SB,20,0,2025-05-23--16h-55m-30s-729579
4,9,C,20,0,2025-05-23--16h-55m-30s-729579
4,12,C,20,0,2025-05-23--16h-55m-30s-729579
4,11,C,20,0,2025-05-23--16h-55m-30s-729579
4,10,C,20,0,2025-05-23--16h-55m-30s-729579
4,7,SB,20,0,2025-05-23--16h-55m-30s-729579
7,9,C,20,0,2025-05-23--16h-55m-30s-729579
