data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-06-18--18h-21m-51s,11.0,2.0,9.0,18.0,40.0,1.9823131728623846,0.8362471903627787,0.8362471903627787
2025-06-18--18h-21m-51s,6.0,3.0,8.0,23.0,40.0,2.0943951023931957,0.71262518665751,0.71262518665751
2025-06-18--18h-21m-51s,13.0,5.0,10.0,12.0,40.0,1.746702094958613,0.8518037601641124,0.8518037601641124
2025-06-18--18h-21m-51s,8.0,3.0,7.0,22.0,40.0,2.065760358511791,0.8192650010037088,0.8192650010037088
2025-06-18--18h-21m-51s,9.0,2.0,7.0,22.0,40.0,2.0943951023931957,0.8490214962328763,0.8490214962328763
2025-06-18--18h-21m-51s,4.0,3.0,8.0,25.0,40.0,2.15316056466364,0.6127850976142151,0.6127850976142151
2025-06-18--18h-21m-51s,5.0,3.0,11.0,21.0,40.0,2.037561665842193,0.5901158083820768,0.5901158083820768
2025-06-18--18h-21m-51s,10.0,3.0,7.0,20.0,40.0,2.009758212404657,0.8754634103970904,0.8754634103970904
2025-06-18--18h-21m-51s,7.0,2.0,12.0,19.0,40.0,2.009758212404657,0.650173023929723,0.650173023929723
2025-06-18--18h-21m-51s,8.0,4.0,5.0,23.0,40.0,2.065760358511791,0.9036388997985472,0.9036388997985472
2025-06-18--18h-21m-51s,6.0,3.0,8.0,23.0,40.0,2.0943951023931957,0.71262518665751,0.71262518665751
2025-06-18--18h-21m-51s,10.0,2.0,8.0,20.0,40.0,2.037561665842193,0.8419200469343788,0.8419200469343788
2025-06-18--18h-21m-51s,9.0,4.0,5.0,22.0,40.0,2.037561665842193,0.9325456802561851,0.9325456802561851
2025-06-18--18h-21m-51s,5.0,4.0,10.0,21.0,40.0,2.009758212404657,0.6127850976142151,0.6127850976142151
2025-06-18--18h-21m-51s,11.0,2.0,10.0,17.0,40.0,1.9551931012905357,0.8095796943949075,0.8095796943949075
