detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
2,4,SB,8,0,2025-05-23--16h-55m-26s-592122
2,7,DB_V,8,0,2025-05-23--16h-55m-26s-592122
9,12,DB_H,9,0,2025-05-23--16h-55m-26s-610857
9,11,SB,9,1,2025-05-23--16h-55m-26s-610857
9,10,SB,9,1,2025-05-23--16h-55m-26s-610857
11,12,SB,9,0,2025-05-23--16h-55m-26s-610857
10,12,SB,9,0,2025-05-23--16h-55m-26s-610857
10,11,DB_V,9,0,2025-05-23--16h-55m-26s-610857
1,9,C,9,0,2025-05-23--16h-55m-26s-610857
1,12,C,9,0,2025-05-23--16h-55m-26s-610857
1,11,C,9,0,2025-05-23--16h-55m-26s-610857
1,10,C,9,0,2025-05-23--16h-55m-26s-610857
1,4,DB_H,9,1,2025-05-23--16h-55m-26s-610857
1,7,SB,9,0,2025-05-23--16h-55m-26s-610857
1,2,SB,9,0,2025-05-23--16h-55m-26s-610857
4,9,C,9,0,2025-05-23--16h-55m-26s-610857
4,12,C,9,0,2025-05-23--16h-55m-26s-610857
4,11,C,9,0,2025-05-23--16h-55m-26s-610857
4,10,C,9,0,2025-05-23--16h-55m-26s-610857
4,7,SB,9,0,2025-05-23--16h-55m-26s-610857
7,9,C,9,0,2025-05-23--16h-55m-26s-610857
7,12,C,9,0,2025-05-23--16h-55m-26s-610857
7,11,C,9,0,2025-05-23--16h-55m-26s-610857
7,10,C,9,0,2025-05-23--16h-55m-26s-610857
2,9,C,9,0,2025-05-23--16h-55m-26s-610857
2,12,C,9,0,2025-05-23--16h-55m-26s-610857
2,11,C,9,0,2025-05-23--16h-55m-26s-610857
2,10,C,9,0,2025-05-23--16h-55m-26s-610857
2,4,SB,9,0,2025-05-23--16h-55m-26s-610857
2,7,DB_V,9,0,2025-05-23--16h-55m-26s-610857
9,12,DB_H,10,0,2025-05-23--16h-55m-26s-629822
9,11,SB,10,0,2025-05-23--16h-55m-26s-629822
9,10,SB,10,0,2025-05-23--16h-55m-26s-629822
11,12,SB,10,0,2025-05-23--16h-55m-26s-629822
10,12,SB,10,0,2025-05-23--16h-55m-26s-629822
10,11,DB_V,10,0,2025-05-23--16h-55m-26s-629822
1,9,C,10,0,2025-05-23--16h-55m-26s-629822
1,12,C,10,0,2025-05-23--16h-55m-26s-629822
1,11,C,10,0,2025-05-23--16h-55m-26s-629822
1,10,C,10,0,2025-05-23--16h-55m-26s-629822
1,4,DB_H,10,1,2025-05-23--16h-55m-26s-629822
1,7,SB,10,0,2025-05-23--16h-55m-26s-629822
1,2,SB,10,0,2025-05-23--16h-55m-26s-629822
4,9,C,10,0,2025-05-23--16h-55m-26s-629822
4,12,C,10,0,2025-05-23--16h-55m-26s-629822
4,11,C,10,0,2025-05-23--16h-55m-26s-629822
4,10,C,10,0,2025-05-23--16h-55m-26s-629822
4,7,SB,10,0,2025-05-23--16h-55m-26s-629822
7,9,C,10,0,2025-05-23--16h-55m-26s-629822
7,12,C,10,0,2025-05-23--16h-55m-26s-629822
7,11,C,10,0,2025-05-23--16h-55m-26s-629822
7,10,C,10,0,2025-05-23--16h-55m-26s-629822
2,9,C,10,0,2025-05-23--16h-55m-26s-629822
2,12,C,10,0,2025-05-23--16h-55m-26s-629822
2,11,C,10,0,2025-05-23--16h-55m-26s-629822
2,10,C,10,0,2025-05-23--16h-55m-26s-629822
2,4,SB,10,0,2025-05-23--16h-55m-26s-629822
2,7,DB_V,10,0,2025-05-23--16h-55m-26s-629822
9,12,DB_H,11,0,2025-05-23--16h-55m-26s-650523
9,11,SB,11,0,2025-05-23--16h-55m-26s-650523
9,10,SB,11,0,2025-05-23--16h-55m-26s-650523
11,12,SB,11,0,2025-05-23--16h-55m-26s-650523
10,12,SB,11,0,2025-05-23--16h-55m-26s-650523
10,11,DB_V,11,0,2025-05-23--16h-55m-26s-650523
1,9,C,11,0,2025-05-23--16h-55m-26s-650523
1,12,C,11,0,2025-05-23--16h-55m-26s-650523
1,11,C,11,0,2025-05-23--16h-55m-26s-650523
1,10,C,11,0,2025-05-23--16h-55m-26s-650523
1,4,DB_H,11,1,2025-05-23--16h-55m-26s-650523
1,7,SB,11,0,2025-05-23--16h-55m-26s-650523
1,2,SB,11,0,2025-05-23--16h-55m-26s-650523
4,9,C,11,0,2025-05-23--16h-55m-26s-650523
4,12,C,11,0,2025-05-23--16h-55m-26s-650523
4,11,C,11,0,2025-05-23--16h-55m-26s-650523
4,10,C,11,0,2025-05-23--16h-55m-26s-650523
4,7,SB,11,0,2025-05-23--16h-55m-26s-650523
7,9,C,11,0,2025-05-23--16h-55m-26s-650523
7,12,C,11,0,2025-05-23--16h-55m-26s-650523
7,11,C,11,0,2025-05-23--16h-55m-26s-650523
7,10,C,11,0,2025-05-23--16h-55m-26s-650523
2,9,C,11,0,2025-05-23--16h-55m-26s-650523
2,12,C,11,0,2025-05-23--16h-55m-26s-650523
2,11,C,11,0,2025-05-23--16h-55m-26s-650523
2,10,C,11,0,2025-05-23--16h-55m-26s-650523
2,4,SB,11,0,2025-05-23--16h-55m-26s-650523
2,7,DB_V,11,0,2025-05-23--16h-55m-26s-650523
9,12,DB_H,12,1,2025-05-23--16h-55m-26s-670070
9,11,SB,12,0,2025-05-23--16h-55m-26s-670070
9,10,SB,12,0,2025-05-23--16h-55m-26s-670070
11,12,SB,12,0,2025-05-23--16h-55m-26s-670070
10,12,SB,12,0,2025-05-23--16h-55m-26s-670070
10,11,DB_V,12,0,2025-05-23--16h-55m-26s-670070
1,9,C,12,0,2025-05-23--16h-55m-26s-670070
1,12,C,12,0,2025-05-23--16h-55m-26s-670070
1,11,C,12,0,2025-05-23--16h-55m-26s-670070
1,10,C,12,0,2025-05-23--16h-55m-26s-670070
1,4,DB_H,12,2,2025-05-23--16h-55m-26s-670070
1,7,SB,12,0,2025-05-23--16h-55m-26s-670070
1,2,SB,12,0,2025-05-23--16h-55m-26s-670070
4,9,C,12,0,2025-05-23--16h-55m-26s-670070
4,12,C,12,0,2025-05-23--16h-55m-26s-670070
4,11,C,12,0,2025-05-23--16h-55m-26s-670070
4,10,C,12,0,2025-05-23--16h-55m-26s-670070
4,7,SB,12,0,2025-05-23--16h-55m-26s-670070
7,9,C,12,0,2025-05-23--16h-55m-26s-670070
7,12,C,12,0,2025-05-23--16h-55m-26s-670070
7,11,C,12,0,2025-05-23--16h-55m-26s-670070
7,10,C,12,0,2025-05-23--16h-55m-26s-670070
2,9,C,12,0,2025-05-23--16h-55m-26s-670070
2,12,C,12,0,2025-05-23--16h-55m-26s-670070
2,11,C,12,0,2025-05-23--16h-55m-26s-670070
2,10,C,12,0,2025-05-23--16h-55m-26s-670070
2,4,SB,12,0,2025-05-23--16h-55m-26s-670070
2,7,DB_V,12,0,2025-05-23--16h-55m-26s-670070
9,12,DB_H,13,1,2025-05-23--16h-55m-26s-688674
9,11,SB,13,0,2025-05-23--16h-55m-26s-688674
9,10,SB,13,0,2025-05-23--16h-55m-26s-688674
11,12,SB,13,0,2025-05-23--16h-55m-26s-688674
10,12,SB,13,0,2025-05-23--16h-55m-26s-688674
10,11,DB_V,13,0,2025-05-23--16h-55m-26s-688674
1,9,C,13,0,2025-05-23--16h-55m-26s-688674
1,12,C,13,0,2025-05-23--16h-55m-26s-688674
1,11,C,13,0,2025-05-23--16h-55m-26s-688674
1,10,C,13,0,2025-05-23--16h-55m-26s-688674
1,4,DB_H,13,0,2025-05-23--16h-55m-26s-688674
1,7,SB,13,0,2025-05-23--16h-55m-26s-688674
1,2,SB,13,0,2025-05-23--16h-55m-26s-688674
4,9,C,13,0,2025-05-23--16h-55m-26s-688674
4,12,C,13,0,2025-05-23--16h-55m-26s-688674
4,11,C,13,0,2025-05-23--16h-55m-26s-688674
4,10,C,13,0,2025-05-23--16h-55m-26s-688674
4,7,SB,13,0,2025-05-23--16h-55m-26s-688674
7,9,C,13,0,2025-05-23--16h-55m-26s-688674
7,12,C,13,0,2025-05-23--16h-55m-26s-688674
7,11,C,13,0,2025-05-23--16h-55m-26s-688674
7,10,C,13,0,2025-05-23--16h-55m-26s-688674
2,9,C,13,0,2025-05-23--16h-55m-26s-688674
2,12,C,13,0,2025-05-23--16h-55m-26s-688674
2,11,C,13,0,2025-05-23--16h-55m-26s-688674
2,10,C,13,0,2025-05-23--16h-55m-26s-688674
2,4,SB,13,0,2025-05-23--16h-55m-26s-688674
2,7,DB_V,13,0,2025-05-23--16h-55m-26s-688674
9,12,DB_H,14,1,2025-05-23--16h-55m-26s-707833
9,11,SB,14,0,2025-05-23--16h-55m-26s-707833
9,10,SB,14,0,2025-05-23--16h-55m-26s-707833
11,12,SB,14,0,2025-05-23--16h-55m-26s-707833
10,12,SB,14,0,2025-05-23--16h-55m-26s-707833
10,11,DB_V,14,0,2025-05-23--16h-55m-26s-707833
1,9,C,14,0,2025-05-23--16h-55m-26s-707833
1,12,C,14,0,2025-05-23--16h-55m-26s-707833
1,11,C,14,0,2025-05-23--16h-55m-26s-707833
1,10,C,14,0,2025-05-23--16h-55m-26s-707833
1,4,DB_H,14,0,2025-05-23--16h-55m-26s-707833
1,7,SB,14,0,2025-05-23--16h-55m-26s-707833
1,2,SB,14,0,2025-05-23--16h-55m-26s-707833
4,9,C,14,0,2025-05-23--16h-55m-26s-707833
4,12,C,14,0,2025-05-23--16h-55m-26s-707833
4,11,C,14,0,2025-05-23--16h-55m-26s-707833
4,10,C,14,0,2025-05-23--16h-55m-26s-707833
4,7,SB,14,0,2025-05-23--16h-55m-26s-707833
7,9,C,14,0,2025-05-23--16h-55m-26s-707833
7,12,C,14,0,2025-05-23--16h-55m-26s-707833
7,11,C,14,0,2025-05-23--16h-55m-26s-707833
7,10,C,14,0,2025-05-23--16h-55m-26s-707833
2,9,C,14,0,2025-05-23--16h-55m-26s-707833
2,12,C,14,0,2025-05-23--16h-55m-26s-707833
2,11,C,14,0,2025-05-23--16h-55m-26s-707833
2,10,C,14,0,2025-05-23--16h-55m-26s-707833
2,4,SB,14,0,2025-05-23--16h-55m-26s-707833
2,7,DB_V,14,0,2025-05-23--16h-55m-26s-707833
9,12,DB_H,15,1,2025-05-23--16h-55m-26s-726031
9,11,SB,15,0,2025-05-23--16h-55m-26s-726031
9,10,SB,15,0,2025-05-23--16h-55m-26s-726031
11,12,SB,15,1,2025-05-23--16h-55m-26s-726031
10,12,SB,15,0,2025-05-23--16h-55m-26s-726031
10,11,DB_V,15,0,2025-05-23--16h-55m-26s-726031
1,9,C,15,0,2025-05-23--16h-55m-26s-726031
1,12,C,15,0,2025-05-23--16h-55m-26s-726031
1,11,C,15,0,2025-05-23--16h-55m-26s-726031
1,10,C,15,0,2025-05-23--16h-55m-26s-726031
1,4,DB_H,15,0,2025-05-23--16h-55m-26s-726031
1,7,SB,15,0,2025-05-23--16h-55m-26s-726031
1,2,SB,15,0,2025-05-23--16h-55m-26s-726031
4,9,C,15,0,2025-05-23--16h-55m-26s-726031
4,12,C,15,0,2025-05-23--16h-55m-26s-726031
4,11,C,15,0,2025-05-23--16h-55m-26s-726031
4,10,C,15,0,2025-05-23--16h-55m-26s-726031
4,7,SB,15,0,2025-05-23--16h-55m-26s-726031
7,9,C,15,0,2025-05-23--16h-55m-26s-726031
7,12,C,15,0,2025-05-23--16h-55m-26s-726031
7,11,C,15,0,2025-05-23--16h-55m-26s-726031
7,10,C,15,0,2025-05-23--16h-55m-26s-726031
2,9,C,15,0,2025-05-23--16h-55m-26s-726031
2,12,C,15,0,2025-05-23--16h-55m-26s-726031
2,11,C,15,0,2025-05-23--16h-55m-26s-726031
2,10,C,15,0,2025-05-23--16h-55m-26s-726031
2,4,SB,15,0,2025-05-23--16h-55m-26s-726031
2,7,DB_V,15,0,2025-05-23--16h-55m-26s-726031
9,12,DB_H,16,0,2025-05-23--16h-55m-26s-744415
9,11,SB,16,0,2025-05-23--16h-55m-26s-744415
9,10,SB,16,0,2025-05-23--16h-55m-26s-744415
11,12,SB,16,1,2025-05-23--16h-55m-26s-744415
10,12,SB,16,0,2025-05-23--16h-55m-26s-744415
10,11,DB_V,16,1,2025-05-23--16h-55m-26s-744415
1,9,C,16,0,2025-05-23--16h-55m-26s-744415
