theta,n,theta_estimator_mean,theta_estimator_variance
0.6031857894892403,40,0.5933040929798433,0.01338878397567178
0.6094689747964199,40,0.5997431338727666,0.013359693393182437
0.6157521601035995,40,0.6061777926773365,0.013332336302184777
0.6220353454107791,40,0.6126083152977508,0.013306581858771538
0.6283185307179586,40,0.6190349296291062,0.013282308776301655
0.6346017160251383,40,0.6254578468780884,0.013259404849967626
0.6408849013323178,40,0.6318772628129733,0.013237766465872214
0.6471680866394974,40,0.6382933589420192,0.01321729810261818
0.653451271946677,40,0.6447063036202205,0.013197911832244669
0.6597344572538566,40,0.6511162530852121,0.01317952682627549
0.6660176425610361,40,0.6575233524237465,0.013162068871650612
0.6723008278682158,40,0.6639277364707115,0.01314546990042298
0.6785840131753954,40,0.670329530643069,0.013129667536294742
