delta_phi,theta,n,delta_phi_estimator_mean,delta_phi_estimator_variance
0.3392920065876977,0.7853981633974483,40,0.27469298170091505,0.04438155406648088
0.34243359924128747,0.7853981633974483,40,0.27853228560873855,0.04449118433387257
0.3455751918948773,0.7853981633974483,40,0.28237348870945095,0.044591015128895364
0.34871678454846705,0.7853981633974483,40,0.2862162244588296,0.044681217963027764
0.35185837720205687,0.7853981633974483,40,0.29006013726587554,0.04476196934185997
0.35499996985564664,0.7853981633974483,40,0.2939048824228853,0.044833450396794386
0.35814156250923646,0.7853981633974483,40,0.29775012602815326,0.04489584652157254
0.3612831551628262,0.7853981633974483,40,0.3015955449015656,0.044949347014126104
0.36442474781641604,0.7853981633974483,40,0.30544082649338694,0.04499414472421473
0.3675663404700058,0.7853981633974483,40,0.3092856687865071,0.045030435707288194
0.3707079331235956,0.7853981633974483,40,0.31312978019244553,0.0450584188849779
0.3738495257771854,0.7853981633974483,40,0.31697287944138125,0.045078295712599026
0.3769911184307752,0.7853981633974483,40,0.3208146954665114,0.04509026985400784
0.38013271108436497,0.7853981633974483,40,0.3246549672830095,0.045094546864139065
0.3832743037379548,0.7853981633974483,40,0.3284934438618689,0.04509133387951361
0.38641589639154456,0.7853981633974483,40,0.3323298839989194,0.0450808393169813
0.3895574890451344,0.7853981633974483,40,0.33616405617928663,0.04506327258093917
0.39269908169872414,0.7853981633974483,40,0.339995738437583,0.045038843779232174
0.39584067435231396,0.7853981633974483,40,0.3438247182140977,0.04500776344792505
0.3989822670059037,0.7853981633974483,40,0.3476507922072635,0.044970242285103934
0.40212385965949354,0.7853981633974483,40,0.3514737662226669,0.044926490893841375
0.40526545231308336,0.7853981633974483,40,0.35529345501886983,0.04487671953443759
0.4084070449666731,0.7853981633974483,40,0.35910968215030536,0.044821137886023876
0.41154863762026295,0.7853981633974483,40,0.36292227980750413,0.04475995481759534
0.4146902302738527,0.7853981633974483,40,0.3667310886549062,0.044693378168513986
0.41783182292744253,0.7853981633974483,40,0.37053595766651237,0.044621614538506105
0.4209734155810323,0.7853981633974483,40,0.37433674395961003,0.04454486908715663
0.4241150082346221,0.7853981633974483,40,0.3781333126268227,0.044463345342883154
0.4272566008882119,0.7853981633974483,40,0.38192553656671546,0.044377245021354844
0.4303981935418017,0.7853981633974483,40,0.38571329631318213,0.04428676785330252
0.43353978619539146,0.7853981633974483,40,0.3894964798638379,0.044192111421655106
0.4366813788489813,0.7853981633974483,40,0.3932749825076434,0.04409347100791017
0.43982297150257105,0.7853981633974483,40,0.3970487066519587,0.04399103944764818
0.44296456415616087,0.7853981633974483,40,0.4008175616492457,0.043885006995069586
0.44610615680975063,0.7853981633974483,40,0.40458146362360975,0.043775561196432444
0.44924774946334045,0.7853981633974483,40,0.40834033529738034,0.043662886772249776
0.4523893421169302,0.7853981633974483,40,0.41209410581791234,0.04354716550809942
0.45553093477052004,0.7853981633974483,40,0.41584271058479316,0.043428576153883014
0.4586725274241098,0.7853981633974483,40,0.4195860910776279,0.04330729433136571
0.4618141200776996,0.7853981633974483,40,0.4233241946845718,0.043183492449818034
0.4649557127312894,0.7853981633974483,40,0.4270569745317681,0.04305733962957353
0.4680973053848792,0.7853981633974483,40,0.4307843893138515,0.04292900163330546
0.471238898038469,0.7853981633974483,40,0.4345064031256569,0.04279864080482648
0.4743804906920588,0.7853981633974483,40,0.43822298529528875,0.0426664160152018
0.4775220833456486,0.7853981633974483,40,0.44193411021866946,0.04253248261596529
0.48066367599923837,0.7853981633974483,40,0.44563975719570903,0.04239699239922498
0.4838052686528282,0.7853981633974483,40,0.4493399102682111,0.04226009356443705
0.48694686130641796,0.7853981633974483,40,0.4530345580596343,0.042121930691626924
0.4900884539600078,0.7853981633974483,40,0.4567236936168144,0.04198264472083332
0.49323004661359754,0.7853981633974483,40,0.46040731425375647,0.04184237293754994
0.49637163926718736,0.7853981633974483,40,0.4640854213975897,0.041701248963934734
0.4995132319207771,0.7853981633974483,40,0.46775802043677306,0.04155940275556422
0.5026548245743669,0.7853981633974483,40,0.4714251205716462,0.04141696060349906
0.5057964172279568,0.7853981633974483,40,0.47508673466739093,0.04127404514143729
0.5089380098815465,0.7853981633974483,40,0.47874287910948976,0.041130775357727745
0.5120796025351363,0.7853981633974483,40,0.4823935736617408,0.04098726661201746
0.5152211951887261,0.7853981633974483,40,0.4860388413268873,0.040843630656310054
0.5183627878423159,0.7853981633974483,40,0.4896787082099302,0.04069997566021388
0.5215043804959056,0.7853981633974483,40,0.49331320338416274,0.04055640624016124
0.5246459731494955,0.7853981633974483,40,0.4969423587599777,0.04041302349238049
0.5277875658030853,0.7853981633974483,40,0.5005662089564872,0.040269925029411124
0.5309291584566751,0.7853981633974483,40,0.5041847911759899,0.04012720501994982
0.5340707511102648,0.7853981633974483,40,0.5077981450813176,0.03998495423182169
0.5372123437638546,0.7853981633974483,40,0.5114063126760836,0.039843260077877696
0.5403539364174444,0.7853981633974483,40,0.5150093381878604,0.0397022066646156
0.5434955290710343,0.7853981633974483,40,0.5186072679542969,0.03956187484333462
0.5466371217246241,0.7853981633974483,40,0.522200150312192,0.03942234226363506
0.5497787143782138,0.7853981633974483,40,0.5257880354895322,0.03928368342907579
0.5529203070318036,0.7853981633974483,40,0.5293709755004999,0.03914596975481327
0.5560618996853934,0.7853981633974483,40,0.5329490240434477,0.03900926962704576
0.5592034923389833,0.7853981633974483,40,0.536522236401843,0.03887364846409469
