N,nu,delta_phi,bias,VarCRB_scaled
40,1,0.15079644737231,-0.0605881143832866,1.20043079526762
40,1,0.1539380400259,-0.0603954974136694,1.22937396405654
40,1,0.15707963267949,-0.0601677643537857,1.25760216830464
40,1,0.160221225333079,-0.0599064258738839,1.28508291327037
40,1,0.163362817986669,-0.0596129780164725,1.31178619389547
40,1,0.166504410640259,-0.059288900715055,1.33768450824722
40,1,0.169646003293849,-0.0589356563726917,1.36275286237728
40,1,0.172787595947439,-0.0585546885020387,1.38696876684677
40,1,0.175929188601028,-0.0581474204283244,1.4103122251959
40,1,0.179070781254618,-0.0577152540565301,1.43276571466281
40,1,0.182212373908208,-0.0572595687038536,1.45431415948003
40,1,0.185353966561798,-0.0567817199983429,1.47494489709838
40,1,0.188495559215388,-0.056283038844402,1.49464763770681
40,1,0.191637151868977,-0.055764830455685,1.51341441743278
40,1,0.194778744522567,-0.0552283734557114,1.5312395456217
40,1,0.197920337176157,-0.0546749190463588,1.5481195466047
40,1,0.201061929829747,-0.0541056902442151,1.56405309637301
40,1,0.204203522483337,-0.0535218811845989,1.579040954583
40,1,0.207345115136926,-0.0529246564928976,1.59308589232032
40,1,0.210486707790516,-0.0523151507227057,1.60619261605255
40,1,0.213628300444106,-0.0516944678600998,1.61836768819959
40,1,0.216769893097696,-0.0510636808932317,1.6296194447481
40,1,0.219911485751286,-0.0504238314462867,1.63995791033151
40,1,0.223053078404875,-0.0497759294767129,1.64939471119077
40,1,0.226194671058465,-0.049120953034506,1.65794298642244
40,1,0.229336263712055,-0.0484598480822078,1.66561729791095
40,1,0.232477856365645,-0.0477935283741711,1.67243353933031
40,1,0.235619449019234,-0.0471228753935298,1.67840884458782
40,1,0.238761041672824,-0.0464487383452231,1.68356149606829
40,1,0.241902634326414,-0.0457719342033287,1.68791083302225
40,1,0.245044226980004,-0.0450932478108789,1.69147716042542
40,1,0.248185819633594,-0.0444134320302607,1.69428165862012
40,1,0.251327412287183,-0.0437332079422331,1.69634629403158
40,1,0.254469004940773,-0.043053265091538,1.69769373123394
40,1,0.257610597594363,-0.0423742617770317,1.69834724662264
40,1,0.260752190247953,-0.0416968253842161,1.69833064393049
40,1,0.263893782901543,-0.0410215527580234,1.69766817180639
40,1,0.267035375555132,-0.0403490106136686,1.69638444365588
40,1,0.270176968208722,-0.0396797359833739,1.69450435992442
40,1,0.273318560862312,-0.0390142366967502,1.69205303298478
40,1,0.276460153515902,-0.0383529918926186,1.68905571477164
40,1,0.279601746169492,-0.0376964525600481,1.6855377272879
40,1,0.282743338823081,-0.0370450421064047,1.68152439608951
40,1,0.285884931476671,-0.0363991569502078,1.67704098683769
40,1,0.289026524130261,-0.0357591671366141,1.67211264499103
40,1,0.292168116783851,-0.0351254169733818,1.66676433869303
40,1,0.295309709437441,-0.0344982256851776,1.6610208048951
40,1,0.29845130209103,-0.0338778880841502,1.65490649874023
40,1,0.30159289474462,-0.0332646752547106,1.64844554621777
40,1,0.30473448739821,-0.0326588352505205,1.64166170008649
40,1,0.3078760800518,-0.0320605938017274,1.63457829905009
40,1,0.31101767270539,-0.0314701550305442,1.62721823015762
40,1,0.314159265358979,-0.0308877021733274,1.61960389438963
40,1,0.317300858012569,-0.0303133983073559,1.61175717538095
40,1,0.320442450666159,-0.0297473870805922,1.6036994112212
40,1,0.323584043319749,-0.0291897934427537,1.59545136926533
40,1,0.326725635973339,-0.0286407243761022,1.58703322387873
