eta,theta,p_sb,p_c,p_db_h,p_db_v,delta
0.8150000000000001,0.7366058927254625,0.18700531777473345,0.03373692991726903,0.7623491596806242,0.01690859262737225,0.0
0.8150000000000001,0.7429016695863638,0.1897089000783289,0.03375571865542285,0.7590589241630585,0.017476457103188545,0.0
0.8150000000000001,0.7491974464472653,0.1924184022065188,0.03377454853382004,0.755749073806215,0.018057975453445455,0.0
0.8150000000000001,0.7554932233081666,0.19513340863763862,0.033793416664763355,0.7524198393696128,0.018653335327984293,0.0
0.8150000000000001,0.761789000169068,0.19785350158416867,0.03381232014480847,0.7490714539935154,0.019262724277506332,0.0
0.8150000000000001,0.7680847770299695,0.20057826104709342,0.03383125605514239,0.7457041531923387,0.019886329705424515,0.0
0.8150000000000001,0.7743805538908708,0.2033072648714499,0.033850221461968796,0.7423181748473305,0.020524338819249904,0.0
0.8150000000000001,0.7806763307517722,0.2060400888030677,0.03386921341690334,0.7389137591985075,0.021176938581520647,0.0
0.8150000000000001,0.7869721076126736,0.20877630654650225,0.03388822895737521,0.735491148835839,0.021844315660282415,0.0
0.8150000000000001,0.793267884473575,0.21151548982416624,0.033907265107038884,0.7320505886896643,0.022526656379129522,0.0
0.8150000000000001,0.7995636613344763,0.21425720843665802,0.03392631887619284,0.7285923260203325,0.023224146666815878,0.0
0.8150000000000001,0.8058594381953778,0.21700103032429027,0.03394538726220754,0.7251166104070548,0.02393697200644643,0.0
0.8150000000000001,0.8121552150562792,0.21974652162981706,0.033964467249961,0.7216236937359622,0.02466531738425887,0.0
0.8150000000000001,0.8184509919171805,0.22249324676236074,0.03398355581228337,0.7181138301873483,0.025409367238006884,0.0
0.8150000000000001,0.824746768778082,0.22524076846253588,0.03400264991040937,0.7145872762220978,0.02616930540495608,0.0
0.8150000000000001,0.8310425456389833,0.2279886478687695,0.03402174649443908,0.7110442905672864,0.026945315069504334,0.0
0.8150000000000001,0.8373383224998847,0.23073644458481407,0.034040842503807484,0.707485134200939,0.02773757871043884,0.0
0.8150000000000001,0.843634099360786,0.23348371674845037,0.03405993486776136,0.7039100703359452,0.028546278047842207,0.0
0.8150000000000001,0.8499298762216875,0.23623002110137611,0.03407902050584578,0.7003193644031164,0.029371593989661045,0.0
0.8150000000000001,0.8562256530825889,0.23897491306027435,0.034098096328397075,0.6967132840333775,0.03021370657795018,0.0
0.8150000000000001,0.8625214299434902,0.2417179467890573,0.03411715923704561,0.6930920990390899,0.031072794934806566,0.0
0.8150000000000001,0.8688172068043917,0.24445867527227824,0.03413620612522557,0.6894560813944879,0.03194903720800743,0.0
0.8150000000000001,0.875112983665293,0.24719665038970368,0.03415523387869351,0.685805505215235,0.03284261051636704,0.0
0.8150000000000001,0.8814087605261944,0.24993142299203866,0.034174239376054155,0.6821406467370786,0.03375369089482792,0.0
0.8150000000000001,0.8877045373870958,0.25266254297779484,0.034193219489295275,0.6784617842936078,0.0346824532393015,0.0
0.8150000000000001,0.8940003142479972,0.2553895593712928,0.034212171084329196,0.6747691982931026,0.03562907125127498,0.0
0.8150000000000001,0.9002960911088986,0.2581120204017866,0.034231091021542814,0.6710631711944693,0.03659371738220057,0.0
0.8150000000000001,0.9065918679698,0.26082947358369946,0.03424997615635541,0.6673439874822603,0.03757656277768405,0.0
0.8150000000000001,0.9128876448307014,0.26354146579795873,0.03426882333978342,0.6636119336407668,0.03857777722149034,0.0
0.8150000000000001,0.9191834216916027,0.2662475433744149,0.034287629419014067,0.659867298127187,0.039597529079383346,0.0
0.8150000000000001,0.9254791985525042,0.2689472521753331,0.03430639123798452,0.6561103713438624,0.040635985242819125,0.0
0.8150000000000001,0.9317749754134055,0.2716401376799388,0.034325105637970456,0.6523414456095803,0.04169331107251001,0.0
0.8150000000000001,0.9380707522743069,0.27432574507000423,0.03434376945818004,0.6485608151299358,0.042769670341879555,0.0
0.8150000000000001,0.9443665291352084,0.2770036193164578,0.03436237953635601,0.6447687759667584,0.043865225180427306,0.0
0.8150000000000001,0.9506623059961097,0.27967330526699724,0.03438093270938533,0.6409656260065936,0.04498013601702311,0.0
0.8150000000000001,0.9569580828570111,0.2823343477346906,0.034399425813913684,0.6371516649282433,0.04611456152315182,0.0
0.8150000000000001,0.9632538597179124,0.28498629158754185,0.03441785568696907,0.6333271941693606,0.047268658556127746,0.0
0.8150000000000001,0.9695496365788139,0.28762868183900386,0.03443621916658971,0.6294925168921045,0.04844258210230145,0.0
0.8150000000000001,0.9758454134397152,0.2902610637394148,0.03445451309246055,0.6256479379478458,0.04963648522027829,0.0
0.8150000000000001,0.9821411903006166,0.2928829828683373,0.03447273430655428,0.6217937638409354,0.05085051898417222,0.0
0.8150000000000001,0.9884369671615181,0.2954939852277754,0.03449087965377941,0.6179303026915292,0.052084832426915334,0.0
0.8150000000000001,0.9947327440224194,0.29809361733624623,0.034508945982633925,0.614057864197473,0.05333957248364625,0.0
