delta_phi,E_nu_1.000,VarCRB_nu_1.000,E_nu_0.970,VarCRB_nu_0.970,E_nu_0.971,VarCRB_nu_0.971,E_nu_0.972,VarCRB_nu_0.972
0.568628270299753,-0.00309891116909378,1.05128932798834,-0.00335972762932146,1.05584137831217,-0.00335048300250385,1.05567204391558,-0.00334127367505943,1.0555036038238
0.571769862953342,-0.00304668600153657,1.0509161176443,-0.00330146040811397,1.05536900874711,-0.00329243904966858,1.05520413189904,-0.00328345195333635,1.05504011039273
0.574911455606932,-0.00299482876152524,1.05055283858509,-0.00324367693405825,1.05490901041492,-0.0032348735763742,1.05474840632767,-0.00322610348149688,1.05458862113404
0.578053048260522,-0.0029433298925613,1.05019919488843,-0.00318636523817195,1.05446110766356,-0.00317777482389836,1.05430460072358,-0.00316921670885617,1.05414887855966
0.581194640914112,-0.00289218010505432,1.04985490555957,-0.003129513547524,1.05402502845094,-0.00312113121924507,1.05387245167285,-0.0031127802602815,1.05372062771205
0.584336233567702,-0.00284137036357701,1.04951970361138,-0.00307311028973167,1.0536005048719,-0.00306493138027819,1.05345169938389,-0.00305678294196154,1.05330361675688
0.587477826221291,-0.00279089187487236,1.04919333520879,-0.00301714409619258,1.05318727360791,-0.00300916411956587,1.05304208817118,-0.00300121374583417,1.05289759749571
0.590619418874881,-0.00274073607656178,1.04887555887189,-0.00296160380420019,1.05278507630909,-0.00295381844704889,1.05264336686558,-0.00294606185280832,1.05250232580534
0.593761011528471,-0.00269089462650351,1.04856614473442,-0.00290647845805514,1.05239365991247,-0.00289888357167178,1.05225528916,-0.00289131663491304,1.05211756201172
0.596902604182061,-0.00264135939275845,1.04826487385349,-0.00285175730928899,1.05201277690294,-0.00284434890210561,1.05187761389871,-0.00283696765649111,1.05174307120343
0.600044196835651,-0.00259212244412876,1.047971537569,-0.00279742981611608,1.05164218552512,-0.00279020404663788,1.05151010531131,-0.00278300467454395,1.05137862349038
0.60318578948924,-0.00254317604121179,1.04768593690479,-0.00274348564218496,1.05128164994618,-0.0027364388123654,1.05115253320124,-0.00272941763833956,1.05102399421521
0.60632738214283,-0.00249451262795775,1.04740788201446,-0.00268991465474355,1.05093094038002,-0.00268304320374613,1.05080467309059,-0.0026761966883494,1.05067896411836
0.60946897479642,-0.00244612482367834,1.04713719166437,-0.00263670692227724,1.05058983317361,-0.00263000742060748,1.05046630632704,-0.00262333215463018,1.05034331946624
0.61261056745001,-0.00239800541548285,1.0468736927528,-0.00258385271169881,1.05025811086114,-0.0025773218556856,1.05013722015761,-0.00257081455469144,1.05001685214227
0.6157521601036,-0.00235014735111494,1.04661721986266,-0.00253134248515297,1.04993556218894,-0.00252497709174937,1.04981720777137,-0.00251863459094426,1.04969935970779
0.618893752757189,-0.00230254373215688,1.04636761484549,-0.00247916689649963,1.0496219821154,-0.00247296389838436,1.04950606831602,-0.00246678314778082,1.0493906454359
0.622035345410779,-0.00225518780758494,1.04612472643446,-0.0024273167875225,1.04931717178961,-0.00242127322848118,1.04920360689218,-0.0024152512883352,1.04909051831911
0.625176938064369,-0.00220807296764169,1.04588840988321,-0.00237578318390042,1.04902093850817,-0.00236989621447681,1.0489096345263,-0.00236403025098564,1.04879879305774
0.628318530717959,-0.00216119273800885,1.04565852663002,-0.00232455729101111,1.04873309565888,-0.00231882416439555,1.04862396812572,-0.00231311144564106,1.0485152900292
0.631460123371548,-0.00211454077426931,1.04543494398563,-0.0022736304895804,1.04845346264763,-0.00226804855773155,1.04834643042081,-0.0022624864498435,1.0482398352406
0.634601716025138,-0.00206811085662562,1.04521753484172,-0.00222299433121287,1.04818186481423,-0.00221756104119741,1.04807684989127,-0.00221214700473527,1.04797226026892
0.637743308678728,-0.00202189688485865,1.04500617739825,-0.00217264053384902,1.04791813333847,-0.00216735342437757,1.04781506068385,-0.00216208501090498,1.04771240218798
0.640884901332318,-0.00197589287352895,1.0448007549116,-0.00212256097715646,1.0476621051373,-0.00211741767531493,1.04756090252057,-0.00211229252416489,1.04746010348788
0.644026493985908,-0.00193009294738011,1.04460115545723,-0.00207274769789112,1.04741362275551,-0.0020677459160422,1.04731422059824,-0.00206276175125286,1.04721521198313
0.647168086639497,-0.00188449133694635,1.04440727170917,-0.00202319288523967,1.04717253425139,-0.00201833041809774,1.04707486548381,-0.00201348504551857,1.04697758071852
0.650309679293087,-0.00183908237435415,1.04421900073489,-0.00197388887617056,1.04693869307811,-0.00196916359802579,1.04684269300406,-0.00196445490257136,1.04674706786529
0.653451271946677,-0.00179386048928631,1.04403624380163,-0.00192482815079598,1.04671195796253,-0.00192023801289121,1.04661756413224,-0.0019156639559379,1.04652353661583
0.656592864600267,-0.00174882020512235,1.04385890619722,-0.00187600332776861,1.04649219278149,-0.00187154635581122,1.04639934487223,-0.00186710497274423,1.04630685507683
0.659734457253857,-0.00170395613523011,1.04368689706217,-0.00182740715971574,1.04627926643733,-0.00182308145152077,1.04618790614054,-0.00181877084938975,1.04609689615522
0.662876049907446,-0.001659262979402,1.04352012923237,-0.00177903252873235,1.04607305273429,-0.00177483625198704,1.04598312364888,-0.00177065460729742,1.04589353744913
0.666017642561036,-0.00161473552041702,1.04335851909005,-0.00173087244192349,1.04587343025348,-0.00172680383206503,1.04578487778495,-0.00172274938867878,1.04569666113397
0.669159235214626,-0.00157036862075366,1.04320198642887,-0.00168292002701398,1.04568028222957,-0.00167897738522582,1.04559305349664,-0.0016750484523671,1.0455061538514
0.672300827868216,-0.00152615721939642,1.04305045432199,-0.00163516852803391,1.04549349643036,-0.00163135021933292,1.0454075401737,-0.00162754516970087,1.04532190659707
0.675442420521806,-0.00148209632877272,1.04290384900254,-0.00158761130106788,1.04531296503546,-0.0015839157524995,1.0452282315342,-0.00158023302047161,1.04514381461103
0.678584013175395,-0.00143818103178706,1.04276209974917,-0.00154024181009171,1.04513858452065,-0.00153666750900738,1.0450550255108,-0.00153310558894149,1.04497177726899
0.681725605828985,-0.00139440647895661,1.04262513877969,-0.00149305362287788,1.04497025554149,-0.00148959911530999,1.0448878241408,-0.00148615655992601,1.04480569797619
0.684867198482575,-0.0013507678856447,1.04249290115157,-0.00144604040699181,1.04480788282304,-0.00144270429610482,1.04472653345823,-0.00143937971495045,1.04464548406311
0.688008791136165,-0.00130726052937391,1.04236532466746,-0.00139919592585924,1.04465137504985,-0.00139597687048509,1.04457106338868,-0.00139276892848095,1.04449104668417
0.691150383789755,-0.00126387974722686,1.04224234978713,-0.0013525140349202,1.04450064476073,-0.00134941074816386,1.0444213276464,-0.00134631816422481,1.04434230071873
0.694291976443344,-0.00122062093332798,1.0421239195449,-0.00130598867786946,1.04435560824763,-0.00130299992578697,1.04427724363676,-0.00130002147150921,1.04419916467542
0.697433569096934,-0.00117747953639158,1.04200997947169,-0.00125961388296492,1.04421618545602,-0.00125673848331243,1.04413873235982,-0.00125387298173074,1.04406156059933
0.700575161750524,-0.00113445105734511,1.04190047752212,-0.00121338375942326,1.04408229989026,-0.0012106205804675,1.04400571831794,-0.00120786690487806,1.04392941398254
0.703716754404114,-0.00109153104701176,1.04179536400549,-0.00116729249389025,1.04395387852173,-0.00116464045328601,1.04387812942739,-0.00116199752612911,1.04380265367776
0.706858347057704,-0.00104871510385984,1.04169459152159,-0.0011213343469928,1.04383085170244,-0.00111879241071422,1.04375589693339,-0.00111625920251235,1.0436812118153
0.709999939711293,-0.00100599887180886,1.04159811490065,-0.00107550364995357,1.04371315307958,-0.00107307083128561,1.04363895532699,-0.00107064635965015,1.04356502372438
0.713141532364883,-0.000963378038085549,1.04150589114548,-0.0010297948012884,1.04360071951634,-0.00102747015987248,1.04352724226845,-0.00102515348854904,1.04345402785507
0.716283125018473,-0.000920848331137369,1.04141787937927,-0.000984202263566658,1.0434934910141,-0.00098198490450041,1.04342069851177,-0.000979775142474937,1.04334816570744
0.719424717672063,-0.00087840551858398,1.04133404079445,-0.000938720560239803,1.04339141064086,-0.000936609633223395,1.04331926783303,-0.000934505933877672,1.04324738176067
0.722566310325652,-0.000836045405225971,1.04125433860649,-0.000893344272534846,1.04329442446038,-0.000891338971068412,1.04322289696318,-0.000889340531384675,1.04315162340768
