delta_phi,E_nu_1.000,VarCRB_nu_1.000,E_nu_0.970,VarCRB_nu_0.970,E_nu_0.971,VarCRB_nu_0.971,E_nu_0.972,VarCRB_nu_0.972,E_nu_0.973,VarCRB_nu_0.973,E_nu_0.974,VarCRB_nu_0.974,E_nu_0.975,VarCRB_nu_0.975,E_nu_0.976,VarCRB_nu_0.976,E_nu_0.977,VarCRB_nu_0.977,E_nu_0.978,VarCRB_nu_0.978,E_nu_0.979,VarCRB_nu_0.979,E_nu_0.980,VarCRB_nu_0.980
0.0345575191894877,-0.0292251370219612,0.0949468997530517,0.17343149258179,0.012792171476345,0.174075515903065,0.0127705053227073,0.17471563372098,0.0127541568584693,0.175351955180969,0.0127435069437732,0.175984584816164,0.0127389971703336,0.176613622814871,0.0127411405025914,0.177239165267891,0.0127505343737702,0.177861304397556,0.0127678769100013,0.178480128770134,0.0127939871768809,0.179095723493113,0.0128298306490601,0.17970817039867,0.0128765515327231
0.0376991118430775,-0.0313615020237009,0.112488701142434,0.170542392310657,0.0151777813793742,0.171185096730559,0.0151498832461633,0.171823906877263,0.0151280859261073,0.172458931601548,0.0151128128405415,0.173090275155329,0.0151045544088688,0.173718037458317,0.0151038795575442,0.174342314344581,0.0151114498428886,0.174963197790886,0.0151280368914032,0.175580776128454,0.0151545440882863,0.17619513423965,0.0151920337574901,0.176806353740898,0.0152417615124004
0.0408407044966673,-0.03341345874047,0.131376117532504,0.167675389562474,0.0177557216348816,0.168316662308124,0.0177204163581047,0.168954052954116,0.0176919977198606,0.169587670031754,0.017670927474122,0.170217617488043,0.0176577398819957,0.170843994951467,0.0176530539024319,0.171466897977732,0.0176575881060692,0.172086418277344,0.0176721790309692,0.172702643926675,0.0176978039264303,0.173315659563997,0.0177356091425135,0.173925546571797,0.0177869458543261
0.0439822971502571,-0.0353817433537456,0.151566026529796,0.164830519247543,0.0205229219066607,0.165470248027012,0.0204789340679292,0.166106107815522,0.0204426121779829,0.166738206800269,0.0204144512518166,0.167366648599849,0.0203950234656976,0.167991532529068,0.0203849908333419,0.168612953843807,0.0203851206648736,0.169231003967788,0.0203963045277882,0.169845770702881,0.0204195816520645,0.170457338424445,0.0204561680251051,0.171065788262995,0.0205074928399662
0.0471238898038469,-0.0372671452157372,0.173012563100272,0.162007818865875,0.0234762970820764,0.1626458919076,0.0234222602359985,0.163280109993362,0.0233766541047268,0.163910580941841,0.0233400012567876,0.164537408019917,0.0233129051641805,0.165160690206462,0.0232960631667641,0.16578052243626,0.0232902822317746,0.166396995825894,0.0232964982149463,0.167010197883253,0.0233157995440427,0.167620212702125,0.0233494565356113,0.168227121143168,0.0233989579524185
0.0502654824574367,-0.0390705055737887,0.195667272337479,0.15920732845986,0.0266127774902344,0.159843634552256,0.0265472449171385,0.160476100640499,0.0264908865280798,0.161104834150569,0.02644424630813,0.161729937974546,0.0264079519567195,0.16235151073332,0.0263827279499024,0.162969647019496,0.0263694113669638,0.163584437622357,0.026368971163824,0.164195969736513,0.0263825317781391,0.16480432715569,0.0264114022232283,0.165409590452976,0.0264571121977911
0.0534070751110265,-0.0407927162166791,0.219479269843134,0.156429090563265,0.0299293356085811,0.157063519094547,0.0298507921856448,0.157694123480201,0.0297821396765904,0.15832101072956,0.029723937113379,0.158944283337055,0.0296768291358056,0.15956403954376,0.0296415589746044,0.160180373579236,0.0296189841304544,0.160793375885504,0.0296100953981985,0.161403133324784,0.0296160400737795,0.162009729372443,0.029638150432839,0.162613244296452,0.029677978909185
0.0565486677646163,-0.0424347180461551,0.244395409001843,0.153673150146534,0.0334230090083201,0.154305591144763,0.0333298838041518,0.154934224751887,0.033247335355926,0.155559157536907,0.0331759313205274,0.156180491573995,0.0331163259805789,0.156798324702815,0.0330692729893818,0.157412750769236,0.0330356407119163,0.158023859848269,0.0330164307711754,0.158631738450841,0.0330128005815463,0.15923646971585,0.0330260908797862,0.159838133588796,0.0330578595708171
0.0596902604182061,-0.0439974995771875,0.270360454406676,0.15093955455835,0.0370909194280907,0.151569898731705,0.0369815986520458,0.152196453153157,0.0368835066748765,0.152819323927959,0.0367972134630411,0.153438612687676,0.0367233758150229,0.154054416849208,0.0366627497302536,0.154666829854326,0.0366162052494,0.155275941391506,0.0365847443305532,0.155881837601691,0.0365695224817259,0.156484601269408,0.0365718750756182,0.157084312000528,0.0365933495460989
0.0628318530717959,-0.0454820953706008,0.29731726067153,0.148228353463442,0.0409302879886913,0.148856492240724,0.0408031279631576,0.149480859778066,0.040687813216081,0.150101561693847,0.040584909949201,0.150718699154942,0.0404950706711136,0.1513323691344,0.0404190460751136,0.151942664649729,0.0403576992453282,0.152549674983581,0.0403120227082036,0.153153485888454,0.0402831589855738,0.153754179776816,0.0402724254879776,0.154351835897959,0.0402813448278163
0.0659734457253857,-0.0468895844018742,0.325206955849704,0.145539598776581,0.044938446666301,0.146165424347957,0.0447917865343587,0.146787498051613,0.0446575518660087,0.147405924996222,0.0445362993736349,0.14802080586218,0.0444286709106138,0.148632237157862,0.0443354047661569,0.149240311456611,0.0442573491331082,0.149845117616217,0.0441954782171803,0.150446740982501,0.0441509115791274,0.151045263578417,0.0441249374614206,0.151640764279939,0.0441190410609239
0.0691150383789755,-0.0482210883700405,0.353969128666052,0.142873344592757,0.0491128462261082,0.143496749950742,0.0489450201550633,0.1441164236604,0.0487901636106403,0.144732470298184,0.0486488185237359,0.145344990036508,0.0485216102559663,0.145954078898545,0.048409258242096,0.146559828993838,0.0483125886432245,0.147162328736531,0.0482325494310995,0.147761663047793,0.0481702284314876,0.148357913543838,0.0481268749936442,0.148951158710816,0.0481039261339412
0.0722566310325652,-0.0494777699507279,0.383542018762282,0.140229647113483,0.0534510608823515,0.140850526094167,0.0532604095728162,0.141467694479439,0.0530832366687185,0.142081256291336,0.0529200645182415,0.142691311173112,0.0527714967430607,0.143297954642492,0.0526382281799495,0.143901278325872,0.0525210566688465,0.14450137017524,0.0524208970611658,0.145098314669389,0.0523387979153461,0.145692193000818,0.0522759614663961,0.146283083249581,0.0522337676109534
0.075398223686155,-0.0506608309974993,0.41386270915168,0.137608564569201,0.0579507899955224,0.138226811893719,0.0577356713534822,0.13884137049505,0.0575345063754594,0.139452343818961,0.0573477935526163,0.140059830958683,0.057176110140498,0.140663926906562,0.0570201213703865,0.141264722786791,0.0568805913446648,0.141862306070973,0.0567583959457531,0.14245676077807,0.0566545381683105,0.143048167660146,0.0565701663866518,0.143636604375136,0.0565065962005549
