data_dir,C,SB,DB_V,DB_H,N
2025-06-18--17h-22m-30s,98.0,1.0,0.0,101.0,200.0
2025-06-18--17h-22m-30s,95.0,2.0,0.0,103.0,200.0
2025-06-18--17h-22m-30s,100.0,0.0,0.0,100.0,200.0
2025-06-18--17h-22m-30s,104.0,3.0,0.0,93.0,200.0
2025-06-18--17h-22m-30s,100.0,1.0,0.0,99.0,200.0
2025-06-18--17h-22m-30s,100.0,1.0,0.0,99.0,200.0
2025-06-18--17h-22m-30s,119.0,0.0,0.0,81.0,200.0
2025-06-18--17h-22m-30s,96.0,1.0,0.0,103.0,200.0
2025-06-18--17h-22m-30s,90.0,0.0,0.0,110.0,200.0
2025-06-18--17h-22m-30s,86.0,2.0,0.0,112.0,200.0
2025-06-18--17h-22m-30s,93.0,0.0,0.0,107.0,200.0
2025-06-18--17h-22m-30s,108.0,1.0,0.0,91.0,200.0
2025-06-18--17h-22m-30s,108.0,1.0,0.0,91.0,200.0
2025-06-18--17h-22m-30s,95.0,2.0,0.0,103.0,200.0
2025-06-18--17h-22m-30s,115.0,0.0,0.0,85.0,200.0
