data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate,theta_estimate_degrees,delta_phi_estimate_degrees
2025-05-23--18h-20m-26s,1.0,12.0,7.0,20.0,40.0,1.4435496611240408,0.21681495800151976,82.70930309994775,12.42258202879328
2025-05-23--18h-20m-26s,0.5,10.0,14.0,15.5,40.0,1.6724943807255575,0.1751187949816745,95.8268692749207,10.03356786586669
2025-05-23--18h-20m-26s,0.5,16.0,7.0,16.5,40.0,1.340335289368688,0.1698338530039141,76.79555521327174,9.730762995569496
2025-05-23--18h-20m-26s,1.0,11.0,12.0,16.0,40.0,1.596179763204715,0.2414722726357701,91.4543637758213,13.835342091461985
2025-05-23--18h-20m-26s,0.5,10.0,10.0,19.5,40.0,1.5707963267948966,0.15645478250875602,90.0,8.964198722388934
2025-05-23--18h-20m-26s,0.5,10.0,13.0,16.5,40.0,1.6470122253008406,0.1698338530039141,94.36684931618802,9.730762995569496
2025-05-23--18h-20m-26s,0.5,16.0,10.0,13.5,40.0,1.4179172430137281,0.18736105494478966,81.24067372351213,10.73499769345517
2025-05-23--18h-20m-26s,1.0,12.0,6.0,21.0,40.0,1.4179172430137281,0.2117463452419459,81.24067372351213,12.13217190968354
2025-05-23--18h-20m-26s,2.0,7.0,7.0,24.0,40.0,1.5707963267948966,0.277062865907599,90.0,15.874532876304485
2025-05-23--18h-20m-26s,1.0,13.0,7.0,19.0,40.0,1.4179172430137281,0.2222659806251162,81.24067372351213,12.734902619155687
2025-05-23--18h-20m-26s,0.5,10.0,11.0,18.5,40.0,1.596179763204715,0.1605571994952417,91.4543637758213,9.19924990151734
2025-05-23--18h-20m-26s,0.5,16.0,8.0,15.5,40.0,1.3663289246478492,0.1751187949816745,78.28488080897003,10.03356786586669
2025-05-23--18h-20m-26s,1.0,14.0,9.0,16.0,40.0,1.4435496611240408,0.2414722726357701,82.70930309994775,13.835342091461985
2025-05-23--18h-20m-26s,0.0,15.0,9.0,16.0,40.0,1.4179172430137281,0.0,81.24067372351213,0.0
2025-05-23--18h-20m-26s,1.0,9.0,10.0,20.0,40.0,1.596179763204715,0.21681495800151976,91.4543637758213,12.42258202879328
2025-05-23--18h-20m-26s,0.0,14.0,15.0,11.0,40.0,1.596179763204715,0.0,91.4543637758213,0.0
2025-05-23--18h-20m-26s,0.5,9.0,13.0,17.5,40.0,1.6724943807255575,0.16500025197837404,95.8268692749207,9.453818056955944
2025-05-23--18h-20m-26s,0.0,15.0,5.0,20.0,40.0,1.3141821007608674,0.0,75.29708788523399,0.0
2025-05-23--18h-20m-26s,0.5,13.0,9.0,17.5,40.0,1.4690982728642359,0.16500025197837404,84.1731307250793,9.453818056955944
2025-05-23--18h-20m-26s,0.0,11.0,9.0,20.0,40.0,1.5200130804813765,0.0,87.090334316262,0.0
2025-05-23--18h-20m-26s,0.0,10.0,14.0,16.0,40.0,1.6724943807255575,0.0,95.8268692749207,0.0
2025-05-23--18h-20m-26s,0.0,14.0,8.0,18.0,40.0,1.4179172430137281,0.0,81.24067372351213,0.0
2025-05-23--18h-20m-26s,0.0,11.0,9.0,20.0,40.0,1.5200130804813765,0.0,87.090334316262,0.0
2025-05-23--18h-20m-26s,1.5,9.0,9.0,20.5,40.0,1.5707963267948966,0.26042190721772407,90.0,14.9210761763231
2025-05-23--18h-20m-26s,0.5,13.0,9.0,17.5,40.0,1.4690982728642359,0.16500025197837404,84.1731307250793,9.453818056955944
2025-05-23--18h-20m-26s,1.0,11.0,8.0,20.0,40.0,1.4945804282889525,0.21681495800151976,85.63315068381198,12.42258202879328
2025-05-23--18h-20m-26s,0.5,10.0,14.0,15.5,40.0,1.6724943807255575,0.1751187949816745,95.8268692749207,10.03356786586669
2025-05-23--18h-20m-26s,0.0,14.0,15.0,11.0,40.0,1.596179763204715,0.0,91.4543637758213,0.0
